Name,Avg_review,Reviews,Category,Address,Phone
Hotel Shirdi Lodge cell nomber,3.4,162,3-star hotel,,0866 257 1266
New Swapna Lodge,3.6,71,1-star hotel,,099597 65988
Ashwani Grand Lodge,4,33,5-star hotel,,
Sri Lekha Lodge,4,62,Hotel,,085582 26677
AT Lodge,3.1,178,Lodge,"35W7+4W9, Narsaraopet Rd, opposite Hp Petrol Bunk",099514 98073
Manikanta Lodge,3,14,Lodge,"3rd floor, main road, opposite prasadrao hospital, beside ganesh hospital",099494 93445
Sri Ram Lodge,4,10,Lodge,"27-47-2, 2, Pattabhi Ramaiah St",098487 45774
Kamakshi Lodge,3.3,73,Lodge,,063094 93480
Rajadhani Lodge,3.6,110,Lodge,CHJ6+J32,094919 77702
Jyothi Lodge,3.7,39,Lodge,"JHW5+76F, Lanco Kondapalli",094418 26811
Sri Sai Baba Lodge,3.5,38,Lodge,"FMXF+H3P, Unnamed Road",0866 254 3771
Sandhya Lodge,3.2,18,Lodge,"Door No. 14-11-17, 14-11-31, Achuta Ramaiah St, Station Road",092464 75822
Royal Lodge,3.5,107,Lodge,,085962 22009
Navya Grand Lodge,3.8,178,3-star hotel,,0863 224 5777
COMFORT INN,4.1,166,Lodge,,094944 41898
PR High Way Lodge,5,1,Lodge,"FF7J+8G7, Bommalasathram Road, near Sbi Bank",073823 30364
Sri ramayya lodge,2.4,29,Lodge,"Bus Stand, Feeder Rd, opp. R.T.C",070130 09730
National Lodge,4.8,6,Hotel,"2/455-E-3, NK Rd",
Lodge Sab Rooms,4.4,11,Lodge,,
Sri Ganapathi Raj lodge,3.4,160,Lodge,cinema road,088562 38049
Mohan Lodge,3.7,72,Lodge,,092901 07106
Sri Sai Lodge,3.5,38,Lodge,"Plot no, 173, 100 Feet Rd",094940 54449
Karthikeya Grand,4.8,67,Lodge,"D.No 11-31-493/A, Ravipadu Road, opp. Reddy Nagar",095818 18191
SPOT ON Hotel Swamy Lodge,3.1,73,2-star hotel,"Peddibhotla, Mannavavari St, behind VHR Complex",0124 620 1530
TOURIST LODGE,3.7,16,Lodge,"VHHM+MWG, NEAR SBI BANK K G ROAD, DIST",
NR Lodge,3.4,33,Lodge,"VijayaLakshmi Villa, Malkipuram Rd",098494 33347
SPOT ON New ROYAL LODGE,3.5,79,3-star hotel,,0124 620 1530
Tirumala Lodge,3.9,29,Hotel,Rtc Bus Stand,
SRI NILAYAM LODGE,3.5,8,Lodge,"7, 90, near MDO office",088839 57999
Padma Palace lodging,3.7,55,Lodge,723F+F85,
Sri Sai Grand Lodge,4,28,Lodge,"Dr utthama, to, Muthukur Rd",098487 69677
PRAKRITI Residence Inn(Lodge),3.7,154,Lodge,9PQP+GH,094404 33232
The Raj Kamal Lodge,3.7,49,Lodge,"Municipal, High School Rd",085942 32590
Swati lodge,3.4,24,Lodge,Hotel Mourya,
Sri Sai Sagar Lodge A/C,3.7,41,Lodge,"Front of RTC Depot, Kurnool Road, Sixty Feet Rd",099499 79872
Savera lodge macherla,3.5,50,Lodge,"second right, Rama Talkies Rd",
Hotel Manasa Lodge,3.3,66,3-star hotel,"Door 5, 32, Kurnool Rd",085922 83182
Hotel O Vishnu Lodge,3.7,436,Hotel,"22A-1-1, 22A-1-1/1, 1, GNT Rd, near BSNL Office",0124 620 1530
"Lemon Tree Premier,Vijayawada",4.4,"3,496",Lodge,"MG Rd, opp. Sub-Collector Office Road",0866 691 9999
Hotel Shivapriya Lodge,3.8,220,2-star hotel,"17/144, Yadlavari St",
Best Lodge,3.7,21,Hotel,"AG College Rd, opposite vijaya digital",096425 85768
