"Name","Avg_review","Reviews","Category","Address 1","Address 2","Phone"
"SRI POOJITHA HANDLOOMS","4.0","(4)","Saree Shop","Shop No.1, opp. Beach","·","092939 43748"
"SR Handlooms CHIRALA","4.2","(5)","Clothing store","Shop No. 282, 283. M. G. C. Market","·","092908 75717"
"Shiva Handlooms","5.0","(4)","Saree Shop","12-36, 12-150, near Sivalayam","",""
"Rk HANDLOOMS","4.2","(5)","Clothing store","shop.no:1-3, Dr.no:16-21-28","",""
"NARAYANA HANDLOOMS","3.0","(2)","Clothing store","·","","088860 74132"
"M.L.V Handlooms","5.0","(4)","Saree Shop","12-36, 12-150","",""
"Srinivasa uniforms and handlooms","4.0","(1)","Clothing store","high schools compound, Market road opp vigan mandir Hindu college, market road","·","094941 36123"
"VIGHNASAI HANDLOOMS","5.0","(1)","Clothing store","12--6--5/1, Station Road, near Duggirala Gopalakrishnaiah park","·","083282 19921"
"Devendra handlooms","4.5","(2)","Designer Clothing Store","Bestapalem, gayathri towers","·","090302 39184"
"MAHALAKSHMI HANDLOOMS","3.0","(1)","Clothing store","Mahalakshmi Handlooms, Gandhi Rd","·","094942 96604"
"Ramesh handlooms","","","Clothing manufacturer","","",""
"Sainadh handlooms","","","Clothing store","5-54","",""
"Chaitra handlooms","5.0","(4)","Clothing store","15-3A, near elementary school","",""
"Padmavathi Handlooms - Factory Outlet","5.0","(1)","Saree Shop","Main road Ramapuram Beach Vetapalem Mandal","·","092463 19673"
"ANANDA HANDLOOM ఆనంద హ్యాండ్లూమ్","4.9","(18)","Clothing store","Door no:6-6, 18, Main Rd, opposite Paris shoe mart","·","098665 17681"
"Thanusri handlooms","","","Clothing store","5-53","",""
"RS HANDLOOMS","5.0","(2)","Women's clothing store","","",""
"Sri Gayatri handlooms","","","Clothing wholesaler","Tummalacharla ramu ,3-30","",""
"sri venkateswara handloom","","","Saree Shop","13-40/2 Jandrapet,chirala mandal","",""
"Sai Rishith Handlooms","5.0","(2)","Clothing store","R86Q+GC7, Guntur - Chirala Rd","",""
"Anusha Handlooms","","","Saree Shop","siva kumar theater","",""
"NEW Yogambika Handlooms","","","Clothing store","Vasavi colony, above Anjaneya swamy vigrham","",""
"District Handlooms and textiles officer","","","Government office","20-98/A","",""
"Durga handlooms","","","Saree Shop","20,janarpeta, Ram Reddy nagar, D.no.16","",""
"Natesh Handlooms","","","Saree Shop","2-106","",""
"Bala Handlooms","3.9","(14)","Dress store","R9PJ+64M, Road","",""
"Handlooms sarees weavers","","","Saree Shop","7-18-54/1","",""
"Yemmiganur Handlooms textile (Guntur branch)","","","Clothing store","7CRW+MM9","",""
"Sravanthi handlooms","","","Saree Shop","D. NO - 2-117, sajjavari street","",""
"Venkateswara handlooms chirala","5.0","(6)","Clothing store","14-69, Main Rd","",""
"GSR Handlooms","","","Clothing store","11-19B","",""
"Madhurai khadi Handlooms (మధురై ఖాదీ హ్యాండ్లూమ్స్)","2.0","(2)","Clothing store","Bose Rd","·","092466 51422"
"Damaru Handlooms","","","Saree Shop","Amodhagiri patnam","",""
"Tulasi handlooms","","","Clothing store","R9WJ+69M","",""
"SRI GANESH HANDLOOMS","","","Clothing store","Shankari towers, Station Road, behind taj lodge","",""
"Sri Satya Sai handlooms","","","Saree Shop","Ramireddy nagr, 16 - 65, near Ganesh temple","",""
"The Handloom Cloth Merchants Association Kalyana Mandapam","3.9","(74)","Function room facility","WX8W+8CV, Sivalayam St","",""
"Jyoshnavi Handlooms","","","Saree Shop","","",""
"ramanadham handlooms","","","Women's clothing store","23-7-1, Ramalayam St","·","083176 69448"
"Gandhi Handloom Sarees","","","Saree Shop","Brodipet Main Rd, opp. Popular Shoe Mart","",""
"Lucky handlooms","","","Clothing store","ramireddy nagar jandrapet, 16_102, near Vinayak temple","",""
"Sri Durga handlooms","","","Clothing store","2-57, 2-37A, near railway station","",""
"Hari Priya Handlooms","","","Clothing store","main road","",""
"Lokesh handlooms","","","Saree Shop","3QH4+VFJ","",""
"Saroja Handlooms","","","Clothing store","","",""
"Hanvitha durga handlooms","","","Clothing store","3-1/3","",""
"Maruthi handlooms","","","Saree Shop","2_183","",""
"Handloom unlimited","","","Women's clothing store","1-17A","·","098944 44355"
"Bhavani handlooms","5.0","(5)","Women's clothing store","BHAVANI HANDLOOMS, BALA TOWERS, beside CORPORATION BANK","",""
"Niharika handlooms","","","Saree Shop","2_196","",""
"Tata kumaraswamy handlooms","5.0","(6)","Clothing store","170","·","094406 24892"
"Grand Gandhi Khadi Bhandar","4.1","(389)","Clothing store","·","4th Ln","0863 223 4760"
"TVK Handlooms ( Top Handloom Manufactures in Chirala )","5.0","(3)","Clothing manufacturer","Mutyalapeta, Mahalakshmamma Chettu Street","",""
"GAYATRI HANDLOOMS","3.3","(4)","Clothing store","Palnadu Rd","",""
"Venu Handlooms, specialist in pattu sarees","","","Saree Shop","","",""
"Rajyalakshmi Handlooms","5.0","(1)","Clothing store","R9VR+VHM","",""
"Pujasri & Rajkumari Handlooms","2.0","(1)","Saree Shop","","",""
"MADINA HANDLOOMS","","","Clothing store","Somuvari St","·","099663 73285"
"Bhanuteja Handlooms","","","Clothing manufacturer","","",""
"Dattu Handlooms","","","Saree Shop","2-993, markandeyanagar","",""
"","","","","","",""
