"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","FQ2IWe src","ah5Ghc","eXlrNe","e4rVHe"
"https://www.google.com/maps/place/S+V+Botique+and+Ladies+Emporium/data=!4m7!3m6!1s0x3a4a757a678ada65:0x6e14847a0c966c0d!8m2!3d16.3057265!4d80.4319516!16s%2Fg%2F11vkhwbcqf!19sChIJZdqKZ3p1SjoRDWyWDHqEFG4?authuser=0&hl=en&rclk=1","S V Botique and Ladies Emporium","5.0","(3)","Embroidery shop","·","6/14 St","Open","⋅ Closes 9:30 pm","·","079811 51252","https://lh5.googleusercontent.com/p/AF1QipMglREoQa7ZVdTlbmhpUw0F5_RrGzP7FgdlNnVc=w80-h106-k-no","In-store shopping","",""
"https://www.google.com/maps/place/Farheen+jewellery+%26+Ladies+Emporium/data=!4m7!3m6!1s0x3bb373f679cc0a27:0x3a5b070f0d35298f!8m2!3d14.4801091!4d78.8046286!16s%2Fg%2F11q45jjwz1!19sChIJJwrMefZzszsRjyk1DQ8HWzo?authuser=0&hl=en&rclk=1","Farheen jewellery & Ladies Emporium","5.0","(9)","Bangle Shop","·","Built Up Rd, near Riyaz","Open","⋅ Closes 9:30 pm","","","https://lh5.googleusercontent.com/p/AF1QipORDl63p2y5lUbISP7cgii2R34dJhKrvdAeMzV_=w80-h103-k-no","Delivery","",""
"https://www.google.com/maps/place/City+Emporium/data=!4m7!3m6!1s0x3a3827e0d6eb4b99:0x86a663ff496aabe8!8m2!3d16.9479542!4d82.2340723!16s%2Fg%2F1thxjh46!19sChIJmUvr1uAnODoR6KtqSf9jpoY?authuser=0&hl=en&rclk=1","City Emporium","3.9","(223)","Novelty store","·","33-1-55, Main Rd","Open","⋅ Closes 9:45 pm","·","099497 68168","https://lh5.googleusercontent.com/p/AF1QipO_dTxpmlM0fqQVNHY9W59VwIZqc5W0SuB0u6PE=w80-h142-k-no","""All","",""
"https://www.google.com/maps/place/Sadhguru+sri+Rajya+Lakshmi+Devi+Colth+Emporium/data=!4m7!3m6!1s0x3a35fada1661ddf7:0xcbcf110bab9060e7!8m2!3d16.5003574!4d80.6702431!16s%2Fg%2F11c327h3_n!19sChIJ991hFtr6NToR52CQqwsRz8s?authuser=0&hl=en&rclk=1","Sadhguru sri Rajya Lakshmi Devi Colth Emporium","5.0","(1)","Women's clothing store","·","# Gurunanak Colony Road, Opp.Apiic Colony, High School Road, R. R. Gardens","","","·","095150 49759","https://lh5.googleusercontent.com/p/AF1QipMLGiGL5OFI-gs_EpRp4kWJmiwFG4j1JD0kvNP7=w122-h92-k-no","","Temporarily closed",""
"https://www.google.com/maps/place/Lepakshi+Handicrafts+Emporium/data=!4m7!3m6!1s0x3a39431ae624bc85:0xf70d363dc04f8f1b!8m2!3d17.7107102!4d83.3019439!16s%2Fg%2F1vxvg8q1!19sChIJhbwk5hpDOToRG49PwD02Dfc?authuser=0&hl=en&rclk=1","Lepakshi Handicrafts Emporium","4.3","(205)","Handicraft","·","Main Rd","Open","⋅ Closes 8 pm","·","089125 08037","https://lh5.googleusercontent.com/p/AF1QipPauFsVpB-hk-dxGUWaxja5tSfdI08NGLz0i7WW=w163-h92-k-no","""One of favourite store…beautiful authentic collections.""","",""
"https://www.google.com/maps/place/Isha%27s+Ladies+Fancy+Shopee/data=!4m7!3m6!1s0x3a4a756727e8217d:0x853440b947391754!8m2!3d16.3104743!4d80.4300225!16s%2Fg%2F12613xfrf!19sChIJfSHoJ2d1SjoRVBc5R7lANIU?authuser=0&hl=en&rclk=1","Isha's Ladies Fancy Shopee","3.8","(30)","Women's clothing store","·","·","Open","⋅ Closes 9:30 pm","8C6J+52J, opp athithi gruha foods","092464 82346","https://lh5.googleusercontent.com/p/AF1QipNpX9UYt0C5FqqUWzIL1MlHOWcnQZugfst_R6Nd=w138-h92-k-no","Delivery","",""
"https://www.google.com/maps/place/Madhavi+Ladies+emporium/data=!4m7!3m6!1s0x3a4cf365d206f947:0x325b70729d0d764e!8m2!3d14.4049292!4d79.9519377!16s%2Fg%2F11x094t9jp!19sChIJR_kG0mXzTDoRTnYNnXJwWzI?authuser=0&hl=en&rclk=1","Madhavi Ladies emporium","","","Jewelry store","","·","Open","⋅ Closes 8 pm","","099087 80090","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2KEdCGGDXPQtrp8QpQ-pZg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=24.15728&pitch=0&thumbfov=100","","","No reviews"
"https://www.google.com/maps/place/Queens+Mehandi+%26+Ladies+emporium/data=!4m7!3m6!1s0x3a49f5774c4104eb:0x21782d3af539e68!8m2!3d16.0166009!4d80.8286954!16s%2Fg%2F11rk8x2w_s!19sChIJ6wRBTHf1SToRaJ5Tr9OCFwI?authuser=0&hl=en&rclk=1","Queens Mehandi & Ladies emporium","4.9","(9)","Mehndi Designer","·","·","Open","⋅ Closes 9 pm","11th ward","091770 13906","https://lh5.googleusercontent.com/p/AF1QipPiVCIiVlxUSCevWaoDsNY4RmHC4DJa2KZ9v7Ne=w110-h92-k-no","On-site services","",""
"https://www.google.com/maps/place/Ladies+Emporium/data=!4m7!3m6!1s0x3a35831ecd4d5d2b:0x83382dccaeb4e713!8m2!3d16.3972847!4d80.1496181!16s%2Fg%2F11lv4v0gtk!19sChIJK11NzR6DNToRE-e0rswtOIM?authuser=0&hl=en&rclk=1","Ladies Emporium","","","Boutique","·","Revenue Ward 1, 1-2-89/10, Gantasala Vari St","","","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lnwYZZrYUrQKBkZXIgMYpQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=321.6559&pitch=0&thumbfov=100","","","No reviews"
"https://www.google.com/maps/place/KUSUMA+LADIES+EMPOREIUM/data=!4m7!3m6!1s0x3a4c8dfe4cd89a7d:0x8bfa8b824c9fa517!8m2!3d14.4639689!4d79.9939687!16s%2Fg%2F11trwr9b80!19sChIJfZrYTP6NTDoRF6WfTIKL-os?authuser=0&hl=en&rclk=1","KUSUMA LADIES EMPOREIUM","5.0","(2)","General store","·","18/351 Main Road, Setti Gunta Rd","Open","⋅ Closes 9:30 pm","·","063051 58449","https://lh5.googleusercontent.com/p/AF1QipNk7-7vD4hxEuH2pvwoj8KQ72WENQRzy8wjW773=w122-h92-k-no","Delivery","",""
"https://www.google.com/maps/place/S+K+M+L+COSMOTICS+LADIES+EMPORIUM/data=!4m7!3m6!1s0x3a35e50db85b78b9:0x8f7acc5f30595821!8m2!3d16.5438273!4d80.6427249!16s%2Fg%2F11s9mdfzdt!19sChIJuXhbuA3lNToRIVhZMF_Meo8?authuser=0&hl=en&rclk=1","S K M L COSMOTICS LADIES EMPORIUM","5.0","(1)","Cosmetics store","·","Pipulroad, 3rd lane","Open 24 hours","","·","091771 99552","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TWl4zjy-KOrck4jYu_CMIg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=153.90746&pitch=0&thumbfov=100","Delivery","",""
"https://www.google.com/maps/place/haritha+ladies+emporium%26+tailors/data=!4m7!3m6!1s0x3bb3416f02d0e731:0xe42379a394d8cf6c!8m2!3d14.4114266!4d79.0303228!16s%2Fg%2F11fsp09pbf!19sChIJMefQAm9BszsRbM_YlKN5I-Q?authuser=0&hl=en&rclk=1","haritha ladies emporium& tailors","3.2","(5)","Women's clothing store","·","C26J+H4G, Darjipalle rd","","","","","https://lh5.googleusercontent.com/p/AF1QipPvush3IZg7revN7KFHZuYuz-4C6vved8huSMaS=w199-h92-k-no","","",""
"https://www.google.com/maps/place/LADIES+EMPORIUM/data=!4m7!3m6!1s0x3a358a859a46d35b:0x717480143f458960!8m2!3d16.3271661!4d80.4181558!16s%2Fg%2F11l6tmfl6r!19sChIJW9NGmoWKNToRYIlFPxSAdHE?authuser=0&hl=en&rclk=1","LADIES EMPORIUM","","","Clothing store","","","","","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FtZVwPoGb5_sD6eyACcZ0A&cb_client=search.gws-prod.gps&w=80&h=92&yaw=90.74804&pitch=0&thumbfov=100","","","No reviews"
"https://www.google.com/maps/place/Nagaveni+Ladies+Emporium/data=!4m7!3m6!1s0x3bb143001a73d3c3:0x44c42eb9415b0b11!8m2!3d14.4168731!4d77.7183319!16s%2Fg%2F11lw2p3rs3!19sChIJw9NzGgBDsTsREQtbQbkuxEQ?authuser=0&hl=en&rclk=1","Nagaveni Ladies Emporium","","","Jewelry store","·","CP89+P8W","Open","⋅ Closes 10 pm","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tpbaZ3gM-BdllxZMtJiL_Q&cb_client=search.gws-prod.gps&w=80&h=92&yaw=286.28467&pitch=0&thumbfov=100","","","No reviews"
"https://www.google.com/maps/place/Cauvery+Pretty+Women/data=!4m7!3m6!1s0x3a394310bd4f74d7:0x18de524fa3fea19c!8m2!3d17.7133911!4d83.3050072!16s%2Fg%2F11gfk71mfx!19sChIJ13RPvRBDOToRnKH-o09S3hg?authuser=0&hl=en&rclk=1","Cauvery Pretty Women","4.8","(8)","Women's clothing store","·","D/no-13-1-1/C Walter main road, beside St Anthony Church","Open","⋅ Closes 9 pm","·","098855 60597","https://lh5.googleusercontent.com/p/AF1QipNE5kwGCtN1d4PApNZyc1KeAxerGUvElv4GVcvC=w138-h92-k-no","Delivery","",""
"https://www.google.com/maps/place/SRU+FANCY+%26+LADIES+EMPORIUM/data=!4m7!3m6!1s0x3a3bd55b905c461d:0x936b1bbf003b7ac6!8m2!3d17.9272576!4d82.9224914!16s%2Fg%2F11y7b3lqr2!19sChIJHUZckFvVOzoRxno7AL8ba5M?authuser=0&hl=en&rclk=1","SRU FANCY & LADIES EMPORIUM","","","Clothing store","·","WWGC+WX5, MDR137","","","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SPfZLe_GQ72dRi5XRKswYQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=108.413475&pitch=0&thumbfov=100","","","No reviews"
"https://www.google.com/maps/place/SRI+SAI+VASAVI+LADIES+EMPORIUM/data=!4m7!3m6!1s0x3a4a3f9c9172625f:0x2e975683727027a9!8m2!3d15.9047288!4d80.4678969!16s%2Fg%2F11bcf2tztf!19sChIJX2JykZw_SjoRqSdwcoNWly4?authuser=0&hl=en&rclk=1","SRI SAI VASAVI LADIES EMPORIUM","","","Clothing Accessories Store","·","Kanyaka Parameshwari Shopping Complex, Radham Bazar Rd","Open","⋅ Closes 10:30 pm","·","092969 50916","https://lh5.googleusercontent.com/p/AF1QipN5SzS9Uu9NzFxXcZFiDB9z9eyfhsdYb9V1mvYO=w122-h92-k-no","Delivery","","No reviews"
"https://www.google.com/maps/place/NIWARE+CLOTH+EMPORIUM/data=!4m7!3m6!1s0x3bb41d0051c810e7:0xdae71107052a9692!8m2!3d14.9086167!4d78.0129806!16s%2Fg%2F11x2dt232f!19sChIJ5xDIUQAdtDsRkpYqBQcR59o?authuser=0&hl=en&rclk=1","NIWARE CLOTH EMPORIUM","5.0","(1)","Women's clothing store","·","J C N R M Complex, CB Rd","Open","⋅ Closes 8:30 pm","","","https://maps.gstatic.com/tactile/pane/result-no-thumbnail-1x.png","","",""
"https://www.google.com/maps/place/SAI+MAHALAKSHMI+LADIES+EMPORIUM/data=!4m7!3m6!1s0x3a4a11db75983775:0x1da21e70960a4e9c!8m2!3d16.0653503!4d80.5515939!16s%2Fg%2F11qg5vf1fz!19sChIJdTeYddsRSjoRnE4KlnAeoh0?authuser=0&hl=en&rclk=1","SAI MAHALAKSHMI LADIES EMPORIUM","5.0","(1)","Store","·","Nethaji Nagar, 1st Line","","","·","090000 12099","https://lh5.googleusercontent.com/p/AF1QipPwIK6R8VMq24KiI5WD3Il1LQQkkfeiHolQpz_i=w122-h92-k-no","","Temporarily closed",""
"https://www.google.com/maps/place/RR+LADIES+EMPORIUM/data=!4m7!3m6!1s0x3a4a1dd4a79f61f7:0xbfc90d9b959bd0f2!8m2!3d16.1031695!4d80.7842838!16s%2Fg%2F11yb106bs9!19sChIJ92Gfp9QdSjoR8tCblZsNyb8?authuser=0&hl=en&rclk=1","RR LADIES EMPORIUM","","","Clothing store","·","Main Road","","","","070363 35211","https://maps.gstatic.com/tactile/pane/result-no-thumbnail-1x.png","","","No reviews"
"https://www.google.com/maps/place/Meghana+Ladies+Emporium+%26+Tailoring/data=!4m7!3m6!1s0x3a36270069e125d9:0x356849dfa378aafc!8m2!3d16.4291509!4d81.339707!16s%2Fg%2F11m5xzmtx5!19sChIJ2SXhaQAnNjoR_Kp4o99JaDU?authuser=0&hl=en&rclk=1","Meghana Ladies Emporium & Tailoring","","","Clothing store","·","C8HQ+MV8","Open","⋅ Closes 8 am Wed","","","https://lh5.googleusercontent.com/p/AF1QipPHoqG_gMFRhBkqDAPYheHIgJhDUVJZCJ8Exj73=w163-h92-k-no","","","No reviews"
"https://www.google.com/maps/place/Karthik+ladies+emporium.+Dress+.+Sarees/data=!4m7!3m6!1s0x3bb6bb001da8891d:0xd739e7f77bdb5987!8m2!3d14.9225763!4d77.6588422!16s%2Fg%2F11w54kw11t!19sChIJHYmoHQC7tjsRh1nbe_fnOdc?authuser=0&hl=en&rclk=1","Karthik ladies emporium. Dress . Sarees","5.0","(1)","Women's clothing store","·","WMF5+2GP","","","","","https://lh5.googleusercontent.com/p/AF1QipPMpaAElWfhIIMGVbaHjCFgNKYCUdFl-k9m8_I=w122-h92-k-no","","Temporarily closed",""
"https://www.google.com/maps/place/Akash+Ladies+emporium/data=!4m7!3m6!1s0x3bb16be7e4757259:0x28831f6a60c128b4!8m2!3d14.2709512!4d77.6262044!16s%2Fg%2F11ty0sjxtn!19sChIJWXJ15OdrsTsRtCjBYGofgyg?authuser=0&hl=en&rclk=1","Akash Ladies emporium","5.0","(1)","Women's clothing store","·","7JCG+9FP","","","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GHHB3zJ_em7XrIzeLh1nUA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=165.2367&pitch=0&thumbfov=100","","Temporarily closed",""
"https://www.google.com/maps/place/Krishna+Emporium+Landmark/data=!4m7!3m6!1s0x3a3827e1ac0bcaf3:0xc3e731b8c281b5c5!8m2!3d16.9507104!4d82.2336584!16s%2Fg%2F1tm8h_d7!19sChIJ88oLrOEnODoRxbWBwrgx58M?authuser=0&hl=en&rclk=1","Krishna Emporium Landmark","3.9","(383)","Novelty store","·","X62M+7CQ, Ganjam Vari St, near Big Masjid Centre","Open","⋅ Closes 9:30 pm","·","0884 238 4377","https://lh5.googleusercontent.com/p/AF1QipPfI8_kBjTSfi_aM0WIYLNQ67ASQmZ68oxX9yd-=w80-h106-k-no","Delivery","",""
"https://www.google.com/maps/place/Blessi+ladies+emporium+and+saree+center/data=!4m7!3m6!1s0x3a3789aa6283310d:0xee2f83d216dd2f18!8m2!3d16.8799947!4d82.1461492!16s%2Fg%2F11wjny11fx!19sChIJDTGDYqqJNzoRGC_dFtKDL-4?authuser=0&hl=en&rclk=1","Blessi ladies emporium and saree center","","","Women's clothing store","·","Rudraram, near Rudraram union bank","","","","","https://lh5.googleusercontent.com/p/AF1QipMsWEj_2W54DNF4cvqqgDxHmX5CvJtcItAqSd95=w80-h106-k-no","","","No reviews"
