Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening hours,Featured image,Cid,Place Id,Kgmid,Plus code,Google Knowledge URL,Email,Social Medias,Facebook,Instagram,Twitter,Yelp
Sri Lalitha Pooja Stores,"5-50-80, 5/14, Brodipet, Guntur, Andhra Pradesh 522002",5-50-80,5/14,Religious goods store,094926 95511,"094926 95511, +91 94926 95511",YES,16,4.4,"https://search.google.com/local/reviews?placeid=ChIJUe4xmxh1SjoR6sYLheobMcA&q=%22pooja+stores%22+,Andhra+Pradesh&authuser=0&hl=en&gl=IN",https://www.google.com/maps?cid=13848881023209424618,16.3040102,80.4317987,,,"Saturday:[Open 24 hours], Sunday:[Open 24 hours], Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipNlY3_PjBZ08VLQYBy5859WYpIYXeeOSjTckDC0=w80-h106-k-no,13848881023209424618,ChIJUe4xmxh1SjoR6sYLheobMcA,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
SRI VIJAYASAI POOJA SAMAGRI,"Vaibhav Fort, Sri Vijayasai Pooja samagri Near congres office, apartment ) Road, opp. SBI Bazar Branch, Agraharam, Eluru, Andhra Pradesh 534001",Vaibhav Fort,Sri Vijayasai Pooja samagri Near congres office,Religious goods store,098856 44244,"098856 44244, +91 98856 44244",YES,13,4.5,"https://search.google.com/local/reviews?placeid=ChIJzT7XBrYUNjoRXBnA5HEpHJg&q=%22pooja+stores%22+,Andhra+Pradesh&authuser=0&hl=en&gl=IN",https://www.google.com/maps?cid=10960681162258782556,16.7072333,81.10436469999999,,,"Saturday:[9 am–9 pm], Sunday:[Closed], Monday:[9 am–9 pm], Tuesday:[9 am–9 pm], Wednesday:[9 am–9 pm], Thursday:[9 am–9 pm], Friday:[9 am–9 pm]",https://lh5.googleusercontent.com/p/AF1QipPI0F92uOeNqZOwPiMe3FzSeAQU6s4tNB8aQ1aV=w162-h92-k-no,10960681162258782556,ChIJzT7XBrYUNjoRXBnA5HEpHJg,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Sri Satya Sai Pooja Stores,"38/18a, Minchin Bazar St, Marwari Street, Kurnool, Andhra Pradesh 518001","38/18a, Minchin Bazar St",Marwari Street,Store,094409 73700,"094409 73700, +91 94409 73700",NO,13,4.8,"https://search.google.com/local/reviews?placeid=ChIJE7Sad2PntTsR3jHrBhV6CEE&q=%22pooja+stores%22+,Andhra+Pradesh&authuser=0&hl=en&gl=IN",https://www.google.com/maps?cid=4686129643007979998,15.8308206,78.0510997,,,"Saturday:[10 am–9 pm], Sunday:[Closed], Monday:[10 am–9 pm], Tuesday:[10 am–9 pm], Wednesday:[10 am–9 pm], Thursday:[10 am–9 pm], Friday:[10 am–9 pm]",https://lh5.googleusercontent.com/p/AF1QipO3MunE31khXNYqNvuyWe0BqCZUbFIA2q1_bTat=w163-h92-k-no,4686129643007979998,ChIJE7Sad2PntTsR3jHrBhV6CEE,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Sridevi Pooja Stores,"Pushpa Hotel Rd 33-4-28, Pushpa Hotel Road Moghalrajpuram, Seetharampuram, Vijayawada, Andhra Pradesh 520010","Pushpa Hotel Rd 33-4-28, Pushpa Hotel Road Moghalrajpuram",Seetharampuram,Craft store,089851 89808,"089851 89808, +91 89851 89808",YES,20,4.2,"https://search.google.com/local/reviews?placeid=ChIJe5Sma1PlNToRx-xt_02SVNU&q=%22pooja+stores%22+,Andhra+Pradesh&authuser=0&hl=en&gl=IN",https://www.google.com/maps?cid=15372072291817876679,16.5146841,80.6394382,,,"Saturday:[9:30 am–9 pm], Sunday:[5–9 pm], Monday:[9:30 am–9 pm], Tuesday:[9:30 am–9 pm], Wednesday:[9:30 am–9 pm], Thursday:[9:30 am–9 pm], Friday:[9:30 am–9 pm]",https://lh5.googleusercontent.com/p/AF1QipOm8bsQS8PZvhJHQHM_FoAiPsV64nNL2KmxYhQx=w163-h92-k-no,15372072291817876679,ChIJe5Sma1PlNToRx-xt_02SVNU,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Lakshmi pooja samagri shop,"Door no 5, 9-15, Big bazar, Sriramnagar, Samarlakota, Andhra Pradesh 533440",Door no 5,"9-15, Big bazar",General store,090302 03562,"090302 03562, +91 90302 03562",YES,40,4.9,"https://search.google.com/local/reviews?placeid=ChIJE0h6CrGBNzoR999DmILihcg&q=%22pooja+stores%22+,Andhra+Pradesh&authuser=0&hl=en&gl=IN",https://www.google.com/maps?cid=14449204030016315383,17.0553879,82.17486099999999,,,"Saturday:[9 am–9 pm], Sunday:[9 am–8 pm], Monday:[9 am–9 pm], Tuesday:[9 am–9 pm], Wednesday:[9 am–9 pm], Thursday:[9 am–9 pm], Friday:[9 am–9 pm]",https://lh5.googleusercontent.com/p/AF1QipNQ5-M5j0qla9-K4BJHJvcU4L_gYF1wKmIJ8tVI=w122-h92-k-no,14449204030016315383,ChIJE0h6CrGBNzoR999DmILihcg,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Sri Sahasra Pooja Stores,"GHQR+5M8, Venkateswara Poundry Road, Near Wholesale Commercial Complex, Opposite Venkateshwara Swamy Temple, Mahendra Nagar, Gollapudi, Vijayawada, Andhra Pradesh 521225",GHQR+5M8,Venkateswara Poundry Road,Religious goods store,092464 00225,"092464 00225, +91 92464 00225",NO,3,5,"https://search.google.com/local/reviews?placeid=ChIJmwHGWrTvNToRHDcan8ELQm8&q=%22pooja+stores%22+,Andhra+Pradesh&authuser=0&hl=en&gl=IN",https://www.google.com/maps?cid=8016983212898793244,16.5379145,80.59170689999999,,,"Saturday:[9:30 am–9 pm], Sunday:[9:30 am–9 pm], Monday:[9:30 am–9 pm], Tuesday:[9:30 am–9 pm], Wednesday:[9:30 am–9 pm], Thursday:[9:30 am–9 pm], Friday:[9:30 am–9 pm]",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UGW565YGFqR3h1xSd5xBlg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=100.167694&pitch=0&thumbfov=100,8016983212898793244,ChIJmwHGWrTvNToRHDcan8ELQm8,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Laxmiganapathi pooja stores.,"Samsung showroom bazar, vartakasangam bazar Vartaka sangam bazar, Kodad, Telangana 508206","Samsung showroom bazar, vartakasangam bazar Vartaka sangam bazar","Kodad, Telangana 508206",Store,091828 77678,"091828 77678, +91 91828 77678",YES,59,4.8,"https://search.google.com/local/reviews?placeid=ChIJWfPizfgCNToReqmW9G7-sg0&q=%22pooja+stores%22+,Andhra+Pradesh&authuser=0&hl=en&gl=IN",https://www.google.com/maps?cid=987131020850932090,17.0003204,79.96192049999999,,,"Saturday:[9 am–9 pm], Sunday:[9 am–9 pm], Monday:[9 am–9 pm], Tuesday:[9 am–9 pm], Wednesday:[9 am–9 pm], Thursday:[9 am–9 pm], Friday:[9 am–9 pm]",https://lh5.googleusercontent.com/p/AF1QipPamnc_N1dZsaJ3MOtpw0xNt72vLVjkOTNHv-C-=w80-h106-k-no,987131020850932090,ChIJWfPizfgCNToReqmW9G7-sg0,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Sri Kanaka Durga bhavani General & pooja stores,"FM7G+5QQ, Vijayawada, Andhra Pradesh 521137",FM7G+5QQ,"Vijayawada, Andhra Pradesh 521137",General store,RSHVZ6G9D6Ku4-EPzOnsiAM,,NO,11,5,"https://search.google.com/local/reviews?placeid=ChIJXwmaVgD7NToRjX_kd8dqo7E&q=%22pooja+stores%22+,Andhra+Pradesh&authuser=0&hl=en&gl=IN",https://www.google.com/maps?cid=12800191970859581325,16.4629183,80.6770173,,,"Saturday:[5:30 am–10 pm], Sunday:[5:30 am–10 pm], Monday:[5:30 am–10 pm], Tuesday:[5:30 am–10 pm], Wednesday:[5:30 am–10 pm], Thursday:[5:30 am–10 pm], Friday:[5:30 am–10 pm]",https://lh5.googleusercontent.com/p/AF1QipMZUzu-QR7p4L7Gs1hJkr9nVpT1t1XpZEVqTsRu=w80-h106-k-no,12800191970859581325,ChIJXwmaVgD7NToRjX_kd8dqo7E,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
sri pothuluri veerabrahmendra swamy pooja and pachari shop,"Eluru bazar, 58, Lalapet, Guntur, Andhra Pradesh 522003",Eluru bazar,58,Pujari,090008 48554,"090008 48554, +91 90008 48554",YES,38,4.7,"https://search.google.com/local/reviews?placeid=ChIJ4Sbfk1V1SjoRoLl_EsxcuIU&q=%22pooja+stores%22+,Andhra+Pradesh&authuser=0&hl=en&gl=IN",https://www.google.com/maps?cid=9635553434312620448,16.2906647,80.4466095,,,"Saturday:[6 am–10 pm], Sunday:[6:30 am–9 pm], Monday:[6 am–10 pm], Tuesday:[6 am–10 pm], Wednesday:[6 am–10 pm], Thursday:[6 am–10 pm], Friday:[6 am–10 pm]",https://lh5.googleusercontent.com/p/AF1QipPsjaRfzIlCBPcKuss9IMnSGuCR09vqXW8rrG5m=w80-h106-k-no,9635553434312620448,ChIJ4Sbfk1V1SjoRoLl_EsxcuIU,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Sri Sai Pooja Samagri,"beside Andhra Pragathi Grameena Bank Pappu Bazar, Gadiyaram Vari Veedhi, Bandla Metla, Ongole, Andhra Pradesh 523001",beside Andhra Pragathi Grameena Bank Pappu Bazar,"Gadiyaram Vari Veedhi, Bandla Metla",Religious goods store,099665 92111,"099665 92111, +91 99665 92111",YES,19,4,"https://search.google.com/local/reviews?placeid=ChIJv7xiHwQBSzoRRet7revH48s&q=%22pooja+stores%22+,Andhra+Pradesh&authuser=0&hl=en&gl=IN",https://www.google.com/maps?cid=14691806224454511429,15.5037369,80.0465097,,,"Saturday:[9 am–9 pm], Sunday:[9 am–9 pm], Monday:[9 am–9 pm], Tuesday:[9 am–9 pm], Wednesday:[9 am–9 pm], Thursday:[9 am–9 pm], Friday:[9 am–9 pm]",https://lh5.googleusercontent.com/p/AF1QipPTszgq752T7zaAzpiGBUvE8wvrta58op03Xl2d=w80-h106-k-no,14691806224454511429,ChIJv7xiHwQBSzoRRet7revH48s,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
