Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening hours,Featured image,Cid,Place Id,Kgmid,Plus code,Google Knowledge URL,Email,Social Medias,Facebook,Instagram,Twitter,Yelp
SHRI MAATHAA SAI POOJA SAMAGRI,"GROUND FLOOR, DR, 42/529-2, Kadapa - Gooty Rd, Kadapa, Andhra Pradesh 516002",GROUND FLOOR,DR,Religious goods store,098493 34070,"098493 34070, +91 98493 34070",YES,53,3.8,"https://search.google.com/local/reviews?placeid=ChIJTbW32wdyszsRw-Au-GXbrOE&q=%22pooja+stores%22+,Andhra+Pradesh&authuser=0&hl=en&gl=IN",https://www.google.com/maps?cid=16261613585530020035,14.473004399999999,78.83606089999999,,,"Saturday:[9 am–9:30 pm], Sunday:[9 am–9:30 pm], Monday:[9 am–9:30 pm], Tuesday:[9 am–9:30 pm], Wednesday:[9 am–9:30 pm], Thursday:[9 am–9:30 pm], Friday:[9 am–9:30 pm]",https://lh5.googleusercontent.com/p/AF1QipNv2uehj0JT5vztQfGLi2Do_eLRlieDePFVigA4=w86-h92-k-no,16261613585530020035,ChIJTbW32wdyszsRw-Au-GXbrOE,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Sri Karthikeya Pooja Samagri,"beside sai baba temple, Samatha nagar, Pedagantyada, Visakhapatnam, Andhra Pradesh 530044",beside sai baba temple,"Samatha nagar, Pedagantyada",Religious goods store,098663 53199,"098663 53199, +91 98663 53199",YES,23,5,"https://search.google.com/local/reviews?placeid=ChIJDebs575pOToREAvzrKyc1Jc&q=%22pooja+stores%22+,Andhra+Pradesh&authuser=0&hl=en&gl=IN",https://www.google.com/maps?cid=10940541660239694608,17.6739903,83.20152279999999,,,"Saturday:[7 am–9 pm], Sunday:[8 am–12:30 pm], Monday:[7 am–9 pm], Tuesday:[7 am–9 pm], Wednesday:[7 am–9 pm], Thursday:[6 am–9:30 pm], Friday:[7 am–9 pm]",https://lh5.googleusercontent.com/p/AF1QipPvnnbQSj0sFYhXPFqB_ROs6NqFhdLIzYf9oPAr=w163-h92-k-no,10940541660239694608,ChIJDebs575pOToREAvzrKyc1Jc,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Sri Maddala Venkata Subbarao Pooja Stores,"Shop no.8, near Nehru Market, Wood Nagar Colony, Chirala, Andhra Pradesh 523155",Shop no.8,near Nehru Market,General store,095734 79427,"095734 79427, +91 95734 79427",YES,11,4.8,"https://search.google.com/local/reviews?placeid=ChIJ79Yz9zBFSjoRzmxfHydVu0s&q=%22pooja+stores%22+,Andhra+Pradesh&authuser=0&hl=en&gl=IN",https://www.google.com/maps?cid=5457049000007920846,15.824771199999999,80.35380239999999,,,"Saturday:[8:30 am–9:30 pm], Sunday:[9 am–6 pm], Monday:[8:30 am–9:30 pm], Tuesday:[8:30 am–9:30 pm], Wednesday:[8:30 am–9:30 pm], Thursday:[8:30 am–9:30 pm], Friday:[8:30 am–9:30 pm]",,5457049000007920846,ChIJ79Yz9zBFSjoRzmxfHydVu0s,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Om sri gayatri pooja stores,"beside bank of baroda ganapathi centre, Bhimadole, Andhra Pradesh 534425",beside bank of baroda ganapathi centre,"Bhimadole, Andhra Pradesh 534425",Religious goods store,OSHVZ-rTPIPi4-EPkdmz2A0,,YES,18,4.9,"https://search.google.com/local/reviews?placeid=ChIJQZPnOJJHNjoRYtRN4J4t-b8&q=%22pooja+stores%22+,Andhra+Pradesh&authuser=0&hl=en&gl=IN",https://www.google.com/maps?cid=13833137890836468834,16.8109408,81.2643915,,,"Saturday:[8 am–10 pm], Sunday:[8 am–10 pm], Monday:[8 am–10 pm], Tuesday:[8 am–10 pm], Wednesday:[8 am–10 pm], Thursday:[8 am–10 pm], Friday:[8 am–10 pm]",https://lh5.googleusercontent.com/p/AF1QipPAfKn34G5uFH47jLh2Pr25l0k5Th7sQ44Nry24=w92-h92-k-no,13833137890836468834,ChIJQZPnOJJHNjoRYtRN4J4t-b8,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
DEVI POOJA STORES,"Gooty Rd, Tagore Nagar, Kurnool, Andhra Pradesh 518002",Gooty Rd,Tagore Nagar,Religious goods store,096429 84210,"096429 84210, +91 96429 84210",YES,16,4.8,"https://search.google.com/local/reviews?placeid=ChIJHwDxm4XdtTsRlyxwClKN7c8&q=%22pooja+stores%22+,Andhra+Pradesh&authuser=0&hl=en&gl=IN",https://www.google.com/maps?cid=14982786918833466519,15.8096588,78.03985899999999,,,"Saturday:[9 am–9:30 pm], Sunday:[9 am–9:30 pm], Monday:[9 am–9:30 pm], Tuesday:[9 am–9:30 pm], Wednesday:[9 am–9:30 pm], Thursday:[9 am–9:30 pm], Friday:[9 am–9:30 pm]",https://lh5.googleusercontent.com/p/AF1QipP42TvOud-NlSS-ZCHsmSXJdtTCnybuCUdGHJmg=w80-h106-k-no,14982786918833466519,ChIJHwDxm4XdtTsRlyxwClKN7c8,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Kv ratnam pooja samagri store,"Stone house pet, beside kanyaka parameswari temple, Nellore, Andhra Pradesh 524002","Stone house pet, beside kanyaka parameswari temple","Nellore, Andhra Pradesh 524002",Religious goods store,086868 84214,"086868 84214, +91 86868 84214",YES,21,4.4,"https://search.google.com/local/reviews?placeid=ChIJbR-QgkrzTDoROQmkU_ix_R4&q=%22pooja+stores%22+,Andhra+Pradesh&authuser=0&hl=en&gl=IN",https://www.google.com/maps?cid=2233136670358899001,14.457883599999999,79.99300869999999,,,"Saturday:[5:30 am–10 pm], Sunday:[5:30 am–10 pm], Monday:[5:30 am–10 pm], Tuesday:[5:30 am–10 pm], Wednesday:[5:30 am–10 pm], Thursday:[5:30 am–10 pm], Friday:[5:30 am–10 pm]",https://lh5.googleusercontent.com/p/AF1QipPiE47KSSa5b9P0yorkxIDewspegv26OgnkavKC=w80-h106-k-no,2233136670358899001,ChIJbR-QgkrzTDoROQmkU_ix_R4,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Vedha Gayathri Pooja Samagri,"Gandhi Rd, near gandhi statue, Gadiyaram Vari Veedhi, Bandla Metla, Ongole, Andhra Pradesh 523001",Gandhi Rd,near gandhi statue,"Religious goods store,Herb shop",090595 23889,"090595 23889, +91 90595 23889",YES,14,4.7,"https://search.google.com/local/reviews?placeid=ChIJAfdcVAEBSzoRVDzqclP5rOI&q=%22pooja+stores%22+,Andhra+Pradesh&authuser=0&hl=en&gl=IN",https://www.google.com/maps?cid=16333704085371501652,15.5042443,80.0482208,,,"Saturday:[7 am–10 pm], Sunday:[7 am–10 pm], Monday:[7 am–10 pm], Tuesday:[7 am–10 pm], Wednesday:[7 am–10 pm], Thursday:[7 am–10 pm], Friday:[7 am–10 pm]",,16333704085371501652,ChIJAfdcVAEBSzoRVDzqclP5rOI,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Tridev Pooja Samagri Store,"26-8-23, Kanithi Rd, opp. Flavors Bakery, Chinagantyada, Chaitanya Nagar, Gajuwaka, Visakhapatnam, Andhra Pradesh 530026","26-8-23, Kanithi Rd",opp. Flavors Bakery,"Religious goods store,General store",076748 42356,"076748 42356, +91 76748 42356",YES,22,4.9,"https://search.google.com/local/reviews?placeid=ChIJ_4Kly75pOToRl9ubKDHp34M&q=%22pooja+stores%22+,Andhra+Pradesh&authuser=0&hl=en&gl=IN",https://www.google.com/maps?cid=9502570136119008151,17.6791165,83.19737099999999,,,"Saturday:[7 am–9 pm], Sunday:[5–9 pm], Monday:[7 am–9 pm], Tuesday:[7 am–9 pm], Wednesday:[7 am–9 pm], Thursday:[7 am–9 pm], Friday:[7 am–9 pm]",https://lh5.googleusercontent.com/p/AF1QipMNnNV0-wgTzHfvh6Fq1SqDFQwj6XKcKAWihSmK=w80-h106-k-no,9502570136119008151,ChIJ_4Kly75pOToRl9ubKDHp34M,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
SRI BALAJI POOJA STORES,"opp. to Govt Veterninary Hospital, Kotapeta, Punganur, Andhra Pradesh 517247",opp. to Govt Veterninary Hospital,Kotapeta,General store,079897 56722,"079897 56722, +91 79897 56722",YES,16,4.8,"https://search.google.com/local/reviews?placeid=ChIJSdWHShN_sjsRvDx5qlChovA&q=%22pooja+stores%22+,Andhra+Pradesh&authuser=0&hl=en&gl=IN",https://www.google.com/maps?cid=17339598883159358652,13.369660399999999,78.5708159,,,"Saturday:[8 am–9 pm], Sunday:[8 am–8 pm], Monday:[8 am–9 pm], Tuesday:[8 am–9 pm], Wednesday:[8 am–9 pm], Thursday:[8 am–9 pm], Friday:[8 am–9 pm]",https://lh5.googleusercontent.com/p/AF1QipNLDY6MHb34Uut0WsMfT2ATchr-vuhDTMliQ87y=w204-h92-k-no,17339598883159358652,ChIJSdWHShN_sjsRvDx5qlChovA,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Karthikeya pooja stores,"4/5, opp. pizza world, opp. ICICI Bank, Sali Pet, Arundelpet, Guntur, Andhra Pradesh 522002",4/5,opp. pizza world,Religious goods store,OSHVZ-rTPIPi4-EPkdmz2A0,,YES,19,4.7,"https://search.google.com/local/reviews?placeid=ChIJAYfdjsx1SjoRqoh5g4b67AA&q=%22pooja+stores%22+,Andhra+Pradesh&authuser=0&hl=en&gl=IN",https://www.google.com/maps?cid=66703550142056618,16.3043372,80.4442004,,,"Saturday:[9 am–2:30 pm], Sunday:[10:30 am–1:30 pm], Monday:[9 am–2:30 pm], Tuesday:[9 am–2:30 pm], Wednesday:[9 am–2:30 pm], Thursday:[9 am–2:30 pm], Friday:[9 am–2:30 pm]",https://lh5.googleusercontent.com/p/AF1QipPNUBQBjfZWWq4-L-1EF_MOdSkW6zeIRJYIGk8v=w122-h92-k-no,66703550142056618,ChIJAYfdjsx1SjoRqoh5g4b67AA,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
