index,Name,Category,Phone,Avg_review,Reviews,Maps_url
60,Sree Veerabhadra Swamy Shopping Mall,Shopping mall,088974 91541,3.8,802,https://www.google.com/maps/place/Sree+Veerabhadra+Swamy+Shopping+Mall/data=!4m7!3m6!1s0x3bb372172f7c36ef:0x18e778127a522fe0!8m2!3d14.4811071!4d78.8231841!16s%2Fg%2F1td2sbf6!19sChIJ7zZ8LxdyszsR4C9SehJ45xg?authuser=0&hl=en&rclk=1
61,South India Shopping Mall Kadapa,Shopping mall,1800 570 0999,4.0,255,https://www.google.com/maps/place/South+India+Shopping+Mall+Kadapa/data=!4m7!3m6!1s0x3bb3731466d80423:0x5786d9f373d0c0b2!8m2!3d14.4632386!4d78.8316153!16s%2Fg%2F11v65375vq!19sChIJIwTYZhRzszsRssDQc_PZhlc?authuser=0&hl=en&rclk=1
62,"KLM Fashion Mall, Nellore",Shopping mall,090302 60666,4.0,"2,306","https://www.google.com/maps/place/KLM+Fashion+Mall,+Nellore/data=!4m7!3m6!1s0x3a4c8cc99ea7f257:0x166d1a4c4e413be3!8m2!3d14.4516205!4d79.9834603!16s%2Fg%2F11f55450xg!19sChIJV_KnnsmMTDoR4ztBTkwabRY?authuser=0&hl=en&rclk=1"
63,Lalitha MegaMall,Shopping mall,,4.0,"1,008",https://www.google.com/maps/place/Lalitha+MegaMall/data=!4m7!3m6!1s0x3bb41cac1ac11fc5:0x88d73997ef3b3bf6!8m2!3d14.9076613!4d78.0130441!16s%2Fg%2F11c38dr3ss!19sChIJxR_BGqwctDsR9js775c514g?authuser=0&hl=en&rclk=1
64,Raji Secar SQUARE Malls,Outlet mall,,4.2,190,https://www.google.com/maps/place/Raji+Secar+SQUARE+Malls/data=!4m7!3m6!1s0x3bb373947f7f6b07:0x81576709bbff27e3!8m2!3d14.4653774!4d78.823575!16s%2Fg%2F11tdr6y15_!19sChIJB2t_f5RzszsR4yf_uwlnV4E?authuser=0&hl=en&rclk=1
65,JC MALL  RAJAHMUNDRY,Shopping mall,,4.5,147,https://www.google.com/maps/place/JC+MALL++RAJAHMUNDRY/data=!4m7!3m6!1s0x3a37a3979e120fbd:0x23ab920f6a07d0e5!8m2!3d17.0063892!4d81.7899436!16s%2Fg%2F11w7kk00mp!19sChIJvQ8SnpejNzoR5dAHagSqyM?authuser=0&hl=en&rclk=1
66,A.S.R. Mall,Shopping mall,090006 20727,4.9,27,https://www.google.com/maps/place/A.S.R.+Mall/data=!4m7!3m6!1s0x3bb64d25e8648883:0x4a2f4b8bb0e1c90a!8m2!3d15.62547!4d77.2754847!16s%2Fg%2F11g047_zh_!19sChIJg4hk6CVNtjsRCsnhsItLL0o?authuser=0&hl=en&rclk=1
67,South India Shopping Mall Anantapur,Shopping mall,077999 65656,4.5,611,https://www.google.com/maps/place/South+India+Shopping+Mall+Anantapur/data=!4m7!3m6!1s0x3bb14b616bdd8053:0x551d40fa1ba293fb!8m2!3d14.6800605!4d77.5984367!16s%2Fg%2F11y5dyw_bt!19sChIJU4Dda2FLsTsR5OiG_pAHVU?authuser=0&hl=en&rclk=1
68,P.M.R Shopping Mall,Shopping mall,098664 07769,3.9,133,https://www.google.com/maps/place/P.M.R+Shopping+Mall/data=!4m7!3m6!1s0x3bb2d49d9766e867:0x737f36c5075b8c6b!8m2!3d13.9590467!4d79.3500067!16s%2Fg%2F11b6pnhdvx!19sChIJZhml53UsjsRa4xbB8U2f3M?authuser=0&hl=en&rclk=1
69,Sajjas Grand Shopping Mall,Shopping mall,086442 25566,3.6,783,https://www.google.com/maps/place/Sajjas+Grand+Shopping+Mall/data=!4m7!3m6!1s0x3a4a060941103c49:0xce44fdb12be34d31!8m2!3d16.2385558!4d80.6497022!16s%2Fg%2F11fnw1dk_m!19sChIJSTwQQQkGSjoRMU3jK7H9RM4?authuser=0&hl=en&rclk=1
70,Ambica Fashion Mall,Outlet mall,091214 01601,4.3,414,https://www.google.com/maps/place/Ambica+Fashion+Mall/data=!4m7!3m6!1s0x3a4b019bfc74861f:0x47fec71e71124cb1!8m2!3d15.5134054!4d80.040222!16s%2Fg%2F11s5twnrt9!19sChIJH4Z0_JsBSzoRsUwScR7H_kc?authuser=0&hl=en&rclk=1
71,Chandana Brothers Shopping Mall,Shopping mall,088122 23388,3.9,"3,151",https://www.google.com/maps/place/Chandana+Brothers+Shopping+Mall/data=!4m7!3m6!1s0x3a3614d06f10e77d:0x4768237a114df9f1!8m2!3d16.709815!4d81.1105812!16s%2Fg%2F11rst6klg!19sChIJfecQb9AUNjoR8flNEXojaEc?authuser=0&hl=en&rclk=1
72,ASRITHA FASHION MALL,Shopping mall,,4.5,170,https://www.google.com/maps/place/ASRITHA+FASHION+MALL/data=!4m7!3m6!1s0x3a4a75bb200458d9:0xfb85c1a196e01877!8m2!3d16.3085945!4d80.434381!16s%2Fg%2F11k9flzdyh!19sChIJ2VgEILt1SjoRdxjglqHBhfs?authuser=0&hl=en&rclk=1
73,Vasant Shopping Mall,Shopping mall,,3.9,143,https://www.google.com/maps/place/Vasant+Shopping+Mall/data=!4m7!3m6!1s0x3bb6e56381d1ac53:0xc513d7998bb8bcf6!8m2!3d15.1655321!4d77.3768109!16s%2Fg%2F11f9frk98j!19sChIJU6zRgWPltjsR9ry4i5nXE8U?authuser=0&hl=en&rclk=1
74,Kotiees Shopping Mall,Shopping mall,092470 40662,3.8,882,https://www.google.com/maps/place/Kotiees+Shopping+Mall/data=!4m7!3m6!1s0x3a4b01a9fdb9689d:0xe81b31f880f13b4e!8m2!3d15.5096612!4d80.0474546!16s%2Fg%2F11bt_gcg_2!19sChIJnWi5_akBSzoRTjvxgPgxGg?authuser=0&hl=en&rclk=1
75,SHABBER MALL,Shopping mall,095508 49490,4.3,58,https://www.google.com/maps/place/SHABBER+MALL/data=!4m7!3m6!1s0x3bb3736cc33a857f:0x5d987c3c76802a2f!8m2!3d14.480556!4d78.8242688!16s%2Fg%2F11pzrm0lbw!19sChIJf4U6w2xzszsRLyqAdjx8mF0?authuser=0&hl=en&rclk=1
76,V square mall,Shopping mall,,4.6,103,https://www.google.com/maps/place/V+square+mall/data=!4m7!3m6!1s0x3a396fed0fe647b9:0x894bc471d323a2c7!8m2!3d17.6870901!4d83.1374556!16s%2Fg%2F11jyw5ztm2!19sChIJuUfmD1vOToRx6Ij03HES4k?authuser=0&hl=en&rclk=1
77,H.A.S Friends Mall,Shopping mall,094937 54433,4.4,85,https://www.google.com/maps/place/H.A.S+Friends+Mall/data=!4m7!3m6!1s0x3bb41d0d83e6b6e9:0x9a3041c13de70b77!8m2!3d14.9055801!4d78.0117089!16s%2Fg%2F11qg3k3rv9!19sChIJ6bbmgw0dtDsRdwvnPcFBMJo?authuser=0&hl=en&rclk=1
78,City Shopping Mall,Shopping mall,090144 39988,3.8,159,https://www.google.com/maps/place/City+Shopping+Mall/data=!4m7!3m6!1s0x3a3c151b29ad60af:0xbd1c733942da3ccf!8m2!3d18.2953222!4d83.8972705!16s%2Fg%2F11bxdlzw6p!19sChIJr2CtKRsVPDoRzzzaQjlzHL0?authuser=0&hl=en&rclk=1
