Name,Category,Address,Phone,Avg_review,Reviews,Maps_url
Rekha's Ladies Emporium & Gifts,Gift shop,"F29J+43M, Ashok Nagar Main Road, Mypadu Rd, near Bharath Petroleum",096400 75316,5,5,https://www.google.com/maps/place/Rekha%27s+Ladies+Emporium+%26+Gifts/data=!4m7!3m6!1s0x3a4c8bcf4c050b11:0x41781e072175342d!8m2!3d14.4678275!4d80.030163!16s%2Fg%2F11sf6j3pf6!19sChIJEQsFTM-LTDoRLTR1IQceeEE?authuser=0&hl=en&rclk=1
Tarini Emporium,Women's clothing store,beside PottiSreeramulu Statue,,5,8,https://www.google.com/maps/place/Tarini+Emporium/data=!4m7!3m6!1s0x3a3631bc56bfb787:0x3f1aad63feddbdab!8m2!3d16.5813908!4d81.3745662!16s%2Fg%2F11y6b0xb6c!19sChIJh7e_VrwxNjoRq73d_mOtGj8?authuser=0&hl=en&rclk=1
Visalakshi Ladies Emporium,Cosmetics store,"GMCQ+WC9, Temple Road, near Sai Baba",096762 81851,4.5,2,https://www.google.com/maps/place/Visalakshi+Ladies+Emporium/data=!4m7!3m6!1s0x3a35e4ce1f2a644d:0x3775d17370000000!8m2!3d16.5222935!4d80.6886091!16s%2Fg%2F11p6spvqrc!19sChIJTWQqH87kNToRAAAAcHPRdTc?authuser=0&hl=en&rclk=1
Bharani Ladies Emporium,Clothing alteration service,Bhagat Singh Rd,090632 61580,3.3,6,https://www.google.com/maps/place/Bharani+Ladies+Emporium/data=!4m7!3m6!1s0x3a35e5574d2fd2d3:0xea479796b288377!8m2!3d16.5256191!4d80.6387482!16s%2Fg%2F11c1w0ccfv!19sChIJ09IvTVflNToRd4Moa3l5pA4?authuser=0&hl=en&rclk=1
S V Botique and Ladies Emporium,Embroidery shop,6/14 St,079811 51252,5,3,https://www.google.com/maps/place/S+V+Botique+and+Ladies+Emporium/data=!4m7!3m6!1s0x3a4a757a678ada65:0x6e14847a0c966c0d!8m2!3d16.3057265!4d80.4319516!16s%2Fg%2F11vkhwbcqf!19sChIJZdqKZ3p1SjoRDWyWDHqEFG4?authuser=0&hl=en&rclk=1
Farheen jewellery & Ladies Emporium,Bangle Shop,"Built Up Rd, near Riyaz",,5,9,https://www.google.com/maps/place/Farheen+jewellery+%26+Ladies+Emporium/data=!4m7!3m6!1s0x3bb373f679cc0a27:0x3a5b070f0d35298f!8m2!3d14.4801091!4d78.8046286!16s%2Fg%2F11q45jjwz1!19sChIJJwrMefZzszsRjyk1DQ8HWzo?authuser=0&hl=en&rclk=1
City Emporium,Novelty store,"33-1-55, Main Rd",099497 68168,3.9,223,https://www.google.com/maps/place/City+Emporium/data=!4m7!3m6!1s0x3a3827e0d6eb4b99:0x86a663ff496aabe8!8m2!3d16.9479542!4d82.2340723!16s%2Fg%2F1thxjh46!19sChIJmUvr1uAnODoR6KtqSf9jpoY?authuser=0&hl=en&rclk=1
Sadhguru sri Rajya Lakshmi Devi Colth Emporium,Women's clothing store,"# Gurunanak Colony Road, Opp.Apiic Colony, High School Road, R. R. Gardens",095150 49759,5,1,https://www.google.com/maps/place/Sadhguru+sri+Rajya+Lakshmi+Devi+Colth+Emporium/data=!4m7!3m6!1s0x3a35fada1661ddf7:0xcbcf110bab9060e7!8m2!3d16.5003574!4d80.6702431!16s%2Fg%2F11c327h3_n!19sChIJ991hFtr6NToR52CQqwsRz8s?authuser=0&hl=en&rclk=1
Lepakshi Handicrafts Emporium,Handicraft,Main Rd,089125 08037,4.3,205,https://www.google.com/maps/place/Lepakshi+Handicrafts+Emporium/data=!4m7!3m6!1s0x3a39431ae624bc85:0xf70d363dc04f8f1b!8m2!3d17.7107102!4d83.3019439!16s%2Fg%2F1vxvg8q1!19sChIJhbwk5hpDOToRG49PwD02Dfc?authuser=0&hl=en&rclk=1
Isha's Ladies Fancy Shopee,Women's clothing store,·,092464 82346,3.8,30,https://www.google.com/maps/place/Isha%27s+Ladies+Fancy+Shopee/data=!4m7!3m6!1s0x3a4a756727e8217d:0x853440b947391754!8m2!3d16.3104743!4d80.4300225!16s%2Fg%2F12613xfrf!19sChIJfSHoJ2d1SjoRVBc5R7lANIU?authuser=0&hl=en&rclk=1
Madhavi Ladies emporium,Jewelry store,·,099087 80090,,,https://www.google.com/maps/place/Madhavi+Ladies+emporium/data=!4m7!3m6!1s0x3a4cf365d206f947:0x325b70729d0d764e!8m2!3d14.4049292!4d79.9519377!16s%2Fg%2F11x094t9jp!19sChIJR_kG0mXzTDoRTnYNnXJwWzI?authuser=0&hl=en&rclk=1
Queens Mehandi & Ladies emporium,Mehndi Designer,·,091770 13906,4.9,9,https://www.google.com/maps/place/Queens+Mehandi+%26+Ladies+emporium/data=!4m7!3m6!1s0x3a49f5774c4104eb:0x21782d3af539e68!8m2!3d16.0166009!4d80.8286954!16s%2Fg%2F11rk8x2w_s!19sChIJ6wRBTHf1SToRaJ5Tr9OCFwI?authuser=0&hl=en&rclk=1
Ladies Emporium,Boutique,"Revenue Ward 1, 1-2-89/10, Gantasala Vari St",,,,https://www.google.com/maps/place/Ladies+Emporium/data=!4m7!3m6!1s0x3a35831ecd4d5d2b:0x83382dccaeb4e713!8m2!3d16.3972847!4d80.1496181!16s%2Fg%2F11lv4v0gtk!19sChIJK11NzR6DNToRE-e0rswtOIM?authuser=0&hl=en&rclk=1
KUSUMA LADIES EMPOREIUM,General store,"18/351 Main Road, Setti Gunta Rd",063051 58449,5,2,https://www.google.com/maps/place/KUSUMA+LADIES+EMPOREIUM/data=!4m7!3m6!1s0x3a4c8dfe4cd89a7d:0x8bfa8b824c9fa517!8m2!3d14.4639689!4d79.9939687!16s%2Fg%2F11trwr9b80!19sChIJfZrYTP6NTDoRF6WfTIKL-os?authuser=0&hl=en&rclk=1
S K M L COSMOTICS LADIES EMPORIUM,Cosmetics store,"Pipulroad, 3rd lane",091771 99552,5,1,https://www.google.com/maps/place/S+K+M+L+COSMOTICS+LADIES+EMPORIUM/data=!4m7!3m6!1s0x3a35e50db85b78b9:0x8f7acc5f30595821!8m2!3d16.5438273!4d80.6427249!16s%2Fg%2F11s9mdfzdt!19sChIJuXhbuA3lNToRIVhZMF_Meo8?authuser=0&hl=en&rclk=1
haritha ladies emporium& tailors,Women's clothing store,"C26J+H4G, Darjipalle rd",,3.2,5,https://www.google.com/maps/place/haritha+ladies+emporium%26+tailors/data=!4m7!3m6!1s0x3bb3416f02d0e731:0xe42379a394d8cf6c!8m2!3d14.4114266!4d79.0303228!16s%2Fg%2F11fsp09pbf!19sChIJMefQAm9BszsRbM_YlKN5I-Q?authuser=0&hl=en&rclk=1
LADIES EMPORIUM,Clothing store,,,,,https://www.google.com/maps/place/LADIES+EMPORIUM/data=!4m7!3m6!1s0x3a358a859a46d35b:0x717480143f458960!8m2!3d16.3271661!4d80.4181558!16s%2Fg%2F11l6tmfl6r!19sChIJW9NGmoWKNToRYIlFPxSAdHE?authuser=0&hl=en&rclk=1
Nagaveni Ladies Emporium,Jewelry store,CP89+P8W,,,,https://www.google.com/maps/place/Nagaveni+Ladies+Emporium/data=!4m7!3m6!1s0x3bb143001a73d3c3:0x44c42eb9415b0b11!8m2!3d14.4168731!4d77.7183319!16s%2Fg%2F11lw2p3rs3!19sChIJw9NzGgBDsTsREQtbQbkuxEQ?authuser=0&hl=en&rclk=1
Cauvery Pretty Women,Women's clothing store,"D/no-13-1-1/C Walter main road, beside St Anthony Church",098855 60597,4.8,8,https://www.google.com/maps/place/Cauvery+Pretty+Women/data=!4m7!3m6!1s0x3a394310bd4f74d7:0x18de524fa3fea19c!8m2!3d17.7133911!4d83.3050072!16s%2Fg%2F11gfk71mfx!19sChIJ13RPvRBDOToRnKH-o09S3hg?authuser=0&hl=en&rclk=1
SRU FANCY & LADIES EMPORIUM,Clothing store,"WWGC+WX5, MDR137",,,,https://www.google.com/maps/place/SRU+FANCY+%26+LADIES+EMPORIUM/data=!4m7!3m6!1s0x3a3bd55b905c461d:0x936b1bbf003b7ac6!8m2!3d17.9272576!4d82.9224914!16s%2Fg%2F11y7b3lqr2!19sChIJHUZckFvVOzoRxno7AL8ba5M?authuser=0&hl=en&rclk=1
SRI SAI VASAVI LADIES EMPORIUM,Clothing Accessories Store,"Kanyaka Parameshwari Shopping Complex, Radham Bazar Rd",092969 50916,,,https://www.google.com/maps/place/SRI+SAI+VASAVI+LADIES+EMPORIUM/data=!4m7!3m6!1s0x3a4a3f9c9172625f:0x2e975683727027a9!8m2!3d15.9047288!4d80.4678969!16s%2Fg%2F11bcf2tztf!19sChIJX2JykZw_SjoRqSdwcoNWly4?authuser=0&hl=en&rclk=1
NIWARE CLOTH EMPORIUM,Women's clothing store,"J C N R M Complex, CB Rd",,5,1,https://www.google.com/maps/place/NIWARE+CLOTH+EMPORIUM/data=!4m7!3m6!1s0x3bb41d0051c810e7:0xdae71107052a9692!8m2!3d14.9086167!4d78.0129806!16s%2Fg%2F11x2dt232f!19sChIJ5xDIUQAdtDsRkpYqBQcR59o?authuser=0&hl=en&rclk=1
SAI MAHALAKSHMI LADIES EMPORIUM,Store,"Nethaji Nagar, 1st Line",090000 12099,5,1,https://www.google.com/maps/place/SAI+MAHALAKSHMI+LADIES+EMPORIUM/data=!4m7!3m6!1s0x3a4a11db75983775:0x1da21e70960a4e9c!8m2!3d16.0653503!4d80.5515939!16s%2Fg%2F11qg5vf1fz!19sChIJdTeYddsRSjoRnE4KlnAeoh0?authuser=0&hl=en&rclk=1
RR LADIES EMPORIUM,Clothing store,Main Road,070363 35211,,,https://www.google.com/maps/place/RR+LADIES+EMPORIUM/data=!4m7!3m6!1s0x3a4a1dd4a79f61f7:0xbfc90d9b959bd0f2!8m2!3d16.1031695!4d80.7842838!16s%2Fg%2F11yb106bs9!19sChIJ92Gfp9QdSjoR8tCblZsNyb8?authuser=0&hl=en&rclk=1
