index,Name,Address,Category,Phone,Avg_review,Reviews
75,Srinivasa Lodge,"Bapulapadu, Krishna, NH-5, Vijayawada Visakapatnam Road, Hanuman Junction",Hotel,086562 42063,3.3,36
76,Manorama Lodge,,Lodge,,3.4,95
77,Ajantha Lodge A/C,"Athithotha vaari, M.V.Agraharam St",Lodge,,4.4,18
78,kokila lodge,"P7QC+PCM, Tarlupadu Rd",Lodge,085962 23324,3.2,138
79,Hotel Shirdi Lodge cell nomber,,3-star hotel,0866 257 1266,3.4,162
80,New Swapna Lodge,,1-star hotel,099597 65988,3.6,71
81,Ashwani Grand Lodge,,5-star hotel,,4.0,33
82,Sri Lekha Lodge,,Hotel,085582 26677,4.0,62
83,AT Lodge,"35W7+4W9, Narsaraopet Rd, opposite Hp Petrol Bunk",Lodge,099514 98073,3.1,178
84,Manikanta Lodge,"3rd floor, main road, opposite prasadrao hospital, beside ganesh hospital",Lodge,099494 93445,3.0,14
85,Sri Ram Lodge,"27-47-2, 2, Pattabhi Ramaiah St",Lodge,098487 45774,4.0,10
86,Kamakshi Lodge,,Lodge,063094 93480,3.3,73
87,Rajadhani Lodge,CHJ6+J32,Lodge,094919 77702,3.6,110
88,Jyothi Lodge,"JHW5+76F, Lanco Kondapalli",Lodge,094418 26811,3.7,39
89,Sri Sai Baba Lodge,"FMXF+H3P, Unnamed Road",Lodge,0866 254 3771,3.5,38
90,Sandhya Lodge,"Door No. 14-11-17, 14-11-31, Achuta Ramaiah St, Station Road",Lodge,092464 75822,3.2,18
91,Royal Lodge,,Lodge,085962 22009,3.5,107
92,Navya Grand Lodge,,3-star hotel,0863 224 5777,3.8,178
93,COMFORT INN,,Lodge,094944 41898,4.1,166
94,PR High Way Lodge,"FF7J+8G7, Bommalasathram Road, near Sbi Bank",Lodge,073823 30364,5.0,1
95,Sri ramayya lodge,"Bus Stand, Feeder Rd, opp. R.T.C",Lodge,070130 09730,2.4,29
96,National Lodge,"2/455-E-3, NK Rd",Hotel,,4.8,6
97,Lodge Sab Rooms,,Lodge,,4.4,11
98,Sri Ganapathi Raj lodge,cinema road,Lodge,088562 38049,3.4,160
99,Mohan Lodge,,Lodge,092901 07106,3.7,72
100,Sri Sai Lodge,"Plot no, 173, 100 Feet Rd",Lodge,094940 54449,3.5,38
101,Karthikeya Grand,"D.No 11-31-493/A, Ravipadu Road, opp. Reddy Nagar",Lodge,095818 18191,4.8,67
102,SPOT ON Hotel Swamy Lodge,"Peddibhotla, Mannavavari St, behind VHR Complex",2-star hotel,0124 620 1530,3.1,73
103,TOURIST LODGE,"VHHM+MWG, NEAR SBI BANK K G ROAD, DIST",Lodge,,3.7,16
104,NR Lodge,"VijayaLakshmi Villa, Malkipuram Rd",Lodge,098494 33347,3.4,33
105,SPOT ON New ROYAL LODGE,,3-star hotel,0124 620 1530,3.5,79
106,Tirumala Lodge,Rtc Bus Stand,Hotel,,3.9,29
107,SRI NILAYAM LODGE,"7, 90, near MDO office",Lodge,088839 57999,3.5,8
108,Padma Palace lodging,723F+F85,Lodge,,3.7,55
109,Sri Sai Grand Lodge,"Dr utthama, to, Muthukur Rd",Lodge,098487 69677,4.0,28
