,Name,Address,Category,Phone,Review,Count
45,Gokul Pooja Stores,"· Gudi Malkapur Rd, opposite saibaba temple",Religious goods store,098668 41517,3.8,(14)
46,Sri Renuka Yellamma Pooja stores,Nagole - Bandlaguda Rd ·,Store,090307 91950,4.6,(48)
47,Hanuman pooja store,· nan,Religious goods store,098662 77222,4.9,(37)
48,Sri Vijaya Pooja Samagri,"Near Usha Mullapudi Common, Behind South India Shopping Mall, Usha Mullapudi Road ·",Religious goods store,092461 16722,3.8,(126)
49,Sri Sai Pooja Stores,"Kismatpur Rd, beside Apollo Pharmacy ·",Religious goods store,093918 51849,4.3,(48)
50,Keerthana pooja store,1-7-943 ·,General store,097052 67303,5.0,(5)
51,Krishna Pooja Samagri,"13-63, Main Road ·",Craft store,094142 12331,4.2,(54)
52,SRI LAKSHMI GANAPATHI POOJA SAMAGRI,Suguna nilayam ·,Religious goods store,099635 87362,4.2,(30)
53,Tirumala Pooja smagri,"Opp. Deccan Gramena Bank, Main Road, Hyderabad - Warangal - Bhopalpatnam Hwy ·",Grocery store,093999 16167,5.0,(1)
54,Sri Sai Pooja Samagri,· eSeva Ln,Religious goods store,076619 46060,4.0,(475)
55,Sri Mahalaxmi Puja Store,SRL Colony Main Rd ·,Supermarket,090307 12090,4.5,(31)
56,SRI SRINIVASA SAI POOJA SAMAGRI STORES,Gudimalkapur ·,General store,098857 01600,4.5,(11)
57,Bhakthi Pooja Samagri,"H No.2-23-487,Plot No.380,HMT Hills, Backside Ramalayam,JNTU Roaf ·",Religious goods store,080999 96014,4.9,(80)
58,Om Sri Padmalaya Pooja Samagri Stores,"function hall, plot no.66 opp.ravinder reddy, road ·",Religious goods store,094947 40945,5.0,(20)
59,AYYAPPA POOJA STORE,"BUS STOP, Rampally Main Rd ·",Religious goods store,098480 82857,4.9,(170)
60,Sri Padmalaya Pooja Stores,1-93/3/12/1 ·,Religious goods store,079951 99984,4.4,(25)
61,Ganesh Narayan Pooja Samagri,"Sai krupa building, NM Guda Rd, near Hanuman temple Entrance, beside lane of goverdham traders ·",Religious goods store,079816 18897,4.9,(70)
62,R.K Pooja Stores,"· Durgamma Temple, Shop No.H-37-105, Main Road, near Last Bus Stop, opposite Durga Mata Temple",Grocery store,094400 33569,4.5,(26)
63,Sreemayee Pooja Store,· nan,Home goods store,092461 18767,5.0,(30)
64,OM SAI POOJA SAMAGRI,"· PLOT NO:-5, opsite:, KONARK HOSPITAL, Pipe Line Rd",Religious goods store,063091 30785,4.3,(15)
65,SRI SAI SANGMESHWARA POOJA SAMAGRI AND KIRANA,"12-7-133/3, opposite CHITTARAMMA TEMPLE, near by GHMC office ·",Store,099897 51360,5.0,(72)
66,Aacharya Silks And Pooja Store,"G5, Kanhaiyalal Complex, Main, Nehru Outer Ring Rd ·",Religious goods store,090635 13506,4.6,(34)
67,"Sri Gayatri pooja store & Wholesale Retail distributors, Hyderabad","Hno 23-117, beside ganesh temple ·",Religious goods store,094911 24192,5.0,(7)
68,Laxmi Narasimha Pooja Store,"Shop Number 7, Kamalapura Colony, Phase 3, Jubilee Hills Road Number 2 ·",Religious goods store,083416 12632,3.8,(26)
69,Shreekara Pooja Store,"H No 1/30/34, PN 38, Military Dairy Farm Road, opposite Ganesh Temple ·",General store,074084 06444,4.7,(10)
70,SAMASTHA POOJA SAMAGRI,"3-27/3, beside Sri Om Medical Lane, near Netha Bazar Building ·",Indian grocery store,076708 80118,5.0,(2)
71,Harsha Sree Pooja Samagri Wholesale & Retail Store,"8FXH+JM5, Unnamed Road ·",Religious goods store,079957 10335,3.8,(5)
72,Balaji pooja samagri & stationary,· nan,Religious goods store,082978 33555,4.5,(16)
73,Sri kamakshi Pooja Samagri Stores,"· 4-118/1, Venkateshwara Temple, Manjeera Rd",Religious goods store,092461 16722,3.7,(42)
74,Sree Lakshmi Pooja Stores,"· F987+5W5, Near Venkateshwara Swany Temple",Collectibles store,085229 61855,4.1,(27)
75,Sri Sai Ram Pooja Samagri Stores,"· Metro Pillar 1546, Ack Bahavn",Grocery store,090304 26427,4.1,(62)
76,SHARADA POOJA STORE,"A28, Road No. 3 ·",Religious goods store,072074 52173,5.0,(3)
77,AYYAPPA POOJA STORE,9HWR+8J5 ·,Religious goods store,090002 37731,4.9,(110)
78,Sri Venkateshwara Pooja Store,C94R+VR8 ·,Home goods store,097048 88066,4.2,(13)
79,Sri Siddi Vinayaka Pooja Store,"871, Pragathi Nagar Rd ·",Home goods store,099591 90862,4.4,(12)
80,Sri Venkateshwara Pooja Samagri And General Store,Allapur Rd ·,Store,098663 05784,4.5,(13)
81,seshasai pooja stores,"8HJ9+HX7, Rhythu Bazar Rd ·",Religious goods store,098495 56295,4.3,(8)
82,Sri Veera Hanuman pooja stores,"Hanuman temple, MIG-A 85. DR A S RAO NAGAR MAIN ROAD Street, 1, besides ·",Religious goods store,091773 89852,4.8,(4)
83,Sri Santoshi Pooja Store,Madhapur Area Madhapur nan,Craft store,092478 99410,4.1,(35)
84,Sri Balaji Pooja Store,"CH69+29Q, Beside Ramalayam, Hyderabad, Swaroop Nagar Rd ·",Religious goods store,095020 52021,4.3,(19)
85,SAI LAKSHMI POOJA STORES,"90/3c, 90/3c, Madhavi Nagar Rd ·",Religious goods store,086884 18388,4.5,(41)
86,S,CH3C+2CJ ·,Religious goods store,090306 33006,4.3,(3)
87,Satya Pooja stores,Lig -107/1 ·,Home goods store,098855 51847,5.0,(23)
88,P. Sathyanarayana Kirana Pooja Samagri Store,"87, Sai Baba Temple Rd ·",Religious goods store,098496 59166,4.3,(7)
89,Sri Maha Vishnu Pooja Stores,"Door No 15, 8-9, Siddiamber Bazar Rd ·",Religious goods store,040 6461 4877,3.8,(5)
