index,Name,Address,Category,Phone,Avg_review,Reviews
54,Sri Vijaya Pooja Samagri,·,Religious goods store,091212 89090,3.9,(95)
55,Sri Yagnaa Pooja Samagri Stores,"H.no 16-107/8/1, Plot no 3 ICRISAT colony, Phase 2 near masjid Beeramguda, Ameenpur, Sangareddy",Religious goods store,091338 10333,4.9,(13)
56,Sri Sai Ram Pooja Samagri Stores,·,Grocery store,090304 26427,4.1,(63)
57,sri Shiva sai pooja Store,near venkatreddynagar busstop,Store,094921 71744,4.7,(13)
58,Sri Durga bhavani pooja samagri,2-1 2,Religious goods store,,4.9,(10)
59,Sri Tulja Bhavani Pooja Stores,·,Religious goods store,,4.1,(47)
60,Om Sri Sai Plastics Pooja Samagri,·,Store,096182 40334,4.4,(25)
61,Balaji pooja samagri & stationary,·,Religious goods store,082978 33555,4.5,(16)
62,Sri Vijaya Pooja Samagri,"Near Usha Mullapudi Common, Behind South India Shopping Mall, Usha Mullapudi Road",Religious goods store,092461 16722,3.8,(127)
63,Sri Vijayalaxmi Pooja Store,"Neknampur Road Huda, Neknampur",Religious goods store,092478 01307,4.7,(32)
64,Aadhigurus Pooja Stores,"2-85, Market Road",Religious goods store,089852 32523,4.8,(12)
65,SRI LAKSHMI GANAPATHI POOJA SAMAGRI,Suguna nilayam,Religious goods store,099635 87362,4.2,(30)
66,Hari Annapurna Pooja Store,Unnamed Road,Store,,4.1,(34)
67,Ayyappa pooja store,House no 4-1269/B plot nob150&151,Religious goods store,090006 55212,5.0,(13)
68,Om Sai Pooja Samagri,·,Religious goods store,083175 58473,4.4,(40)
69,Chaitanya Coconut Traders & Pooja Store,·,Religious goods store,099492 28823,4.5,(63)
70,MARUTHI POOJA STORES & HOME NEEDS,Road No. 5,Grocery store,092474 04546,4.4,(27)
71,Laxminarayan Poojan Samagri,·,Store,090000 13496,4.4,(179)
72,SRI SAI SANGMESHWARA POOJA SAMAGRI AND KIRANA,"12-7-133/3, opposite CHITTARAMMA TEMPLE, near by GHMC office",Store,099897 51360,5.0,(72)
73,Sree Lakshmi Pooja Stores,·,Collectibles store,085229 61855,4.1,(27)
74,SAI LAKSHMI POOJA STORES,"90/3c, 90/3c, Madhavi Nagar Rd",Religious goods store,086884 18388,4.5,(41)
75,M/s RAGHAVENDRA POOJA STORES,"H.NO: 15, 21-1",General store,085002 90245,4.9,(15)
76,Laxmi Prabhu Pooja Stores,inside Durga Matha Common,Store,099490 24070,4.8,(12)
77,Sri Venkateshwara coconuts and pooja store wholesale and retail,"FC38+Q4W, RK Society Rd",Religious goods store,,4.0,(3)
78,Sri Sai Pooja Stores,"Kismatpur Rd, beside Apollo Pharmacy",Religious goods store,093918 51849,4.3,(48)
79,OM SHREE POOJA SAMAGRI STORE,·,Religious goods store,093934 16191,4.0,(37)
80,poojadhravyam18 POOJA SAMAGRI STORE,·,Gift shop,090006 66149,4.4,(52)
81,Om Sri Padmalaya Pooja Samagri Stores,"function hall, plot no.66 opp.ravinder reddy, road",Religious goods store,094947 40945,5.0,(20)
82,Harsha Sree Pooja Samagri Wholesale & Retail Store,"8FXH+JM5, Unnamed Road",Religious goods store,079957 10335,3.8,(5)
83,Sai Pooja Samagri Store,·,Religious goods store,098482 32259,3.8,(78)
