index,Name,Address,Category,Phone,Avg_review,Reviews,Maps_url
13,SAI LADIES EMPORIUM,"MCD Heights, Plot No. 1754",Cosmetics store,099497 66595,5.0,15.0,https://www.google.com/maps/place/SAI+LADIES+EMPORIUM/data=!4m7!3m6!1s0x3bcb93db389ae22b:0x8367b5386c1a4eeb!8m2!3d17.4845639!4d78.3810759!16s%2Fg%2F11l23rvpp1!19sChIJK-KaONuTyzsR604abDi1Z4M?authuser=0&hl=en&rclk=1
14,"Sri Lakshmi Ladies Emporium, Electrical & Gift, General store","MGPQ+9X4, Shopping Complex Rd",Shopping mall,099497 57009,5.0,1.0,"https://www.google.com/maps/place/Sri+Lakshmi+Ladies+Emporium,+Electrical+%26+Gift,+General+store/data=!4m7!3m6!1s0x3a32d14fcd897653:0x12b5d4589621126b!8m2!3d18.6859334!4d79.5399551!16s%2Fg%2F11s98j6wz4!19sChIJU3aJzU_RMjoRaxIhlljUtRI?authuser=0&hl=en&rclk=1"
15,meenakshe ladies emporium,,Women's clothing store,098485 09345,4.7,125.0,https://www.google.com/maps/place/meenakshe+ladies+emporium/data=!4m7!3m6!1s0x3bcba1ba0eda588d:0x8fabf066ea62ba54!8m2!3d17.3290259!4d78.573476!16s%2Fg%2F11c5srlh55!19sChIJjVjaDrqhyzsRVLpi6mbwq48?authuser=0&hl=en&rclk=1
16,H.Radhika ladies emporium,"Shop No-5, opp. Hanuman Temple, near bus stop",Bangle Shop,098490 80288,4.7,14.0,https://www.google.com/maps/place/H.Radhika+ladies+emporium/data=!4m7!3m6!1s0x3bcb8dff9945f063:0xb322327093691b9d!8m2!3d17.5162622!4d78.3817168!16s%2Fg%2F1pp2vk8s7!19sChIJY_BFmf-NyzsRnRtpk3AyIrM?authuser=0&hl=en&rclk=1
17,Sai Ladies Emporium,"Plot no 546, shop no 4, mainroad, beside DTDC courier, opp. jntu",Cosmetics store,098483 84072,4.3,21.0,https://www.google.com/maps/place/Sai+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb8e1d4bf0e4af:0x28af1eefa5ca83c7!8m2!3d17.5168186!4d78.396106!16s%2Fg%2F1pp2vh2_j!19sChIJr-TwSx2OyzsRx4PKpe8eryg?authuser=0&hl=en&rclk=1
18,Shiva Sai ladies emporium,,Cosmetics store,098497 84816,5.0,2.0,https://www.google.com/maps/place/Shiva+Sai+ladies+emporium/data=!4m7!3m6!1s0x3bcbbd15d20b898b:0x80630a9dbc61766c!8m2!3d17.3046548!4d78.4394538!16s%2Fg%2F11s22_6yb7!19sChIJi4kL0hW9yzsRbHZhvJ0KY4A?authuser=0&hl=en&rclk=1
19,DR LADIES EMPORIUM,"plot no 206, neaVIBGYOR international school",Shopping mall,099512 00498,3.1,7.0,https://www.google.com/maps/place/DR+LADIES+EMPORIUM/data=!4m7!3m6!1s0x3bcb929ee5d2a83f:0xa5910067a3531e7d!8m2!3d17.5074211!4d78.3193231!16s%2Fg%2F11g70k5mzr!19sChIJP6jS5Z6SyzsRfR5To2cAkaU?authuser=0&hl=en&rclk=1
20,"Swapna Ladies Emporium, Best bangles store",,Bangle Shop,098497 62883,5.0,2.0,"https://www.google.com/maps/place/Swapna+Ladies+Emporium,+Best+bangles+store/data=!4m7!3m6!1s0x3bcb914877ff8dd9:0x947849d793b74014!8m2!3d17.5115105!4d78.424491!16s%2Fg%2F11rcq4y8bb!19sChIJ2Y3_d0iRyzsRFEC3k9dJeJQ?authuser=0&hl=en&rclk=1"
21,BHAVANÎ LADIES EMPORIUM,,Clothing Accessories Store,096033 95857,4.5,4.0,https://www.google.com/maps/place/BHAVAN%C3%8E+LADIES+EMPORIUM/data=!4m7!3m6!1s0x3bcb911c94aa0fbd:0x31ad8844f897ff2!8m2!3d17.4575839!4d78.4254247!16s%2Fg%2F1ygltgcxc!19sChIJvQ-qlByRyzsR8n-JT4TYGgM?authuser=0&hl=en&rclk=1
22,MS Ladies Emporium And Stationery,,Bangle Shop,,5.0,1.0,https://www.google.com/maps/place/MS+Ladies+Emporium+And+Stationery/data=!4m7!3m6!1s0x3bcb853588bc205b:0xca6ee69ee3a4d969!8m2!3d17.540311!4d78.4869343!16s%2Fg%2F11vpzf1084!19sChIJWyC8iDWFyzsRadmk457mbso?authuser=0&hl=en&rclk=1
23,Sri Mahalakshmi ladies emporium,"p, no 73, Akshaya Nagar Colony Rd",Women's clothing store,077801 00163,5.0,3.0,https://www.google.com/maps/place/Sri+Mahalakshmi+ladies+emporium/data=!4m7!3m6!1s0x3bcb9f61cc65f125:0x8d97016e8f6302d4!8m2!3d17.4180501!4d78.5761997!16s%2Fg%2F11kpzn8p_r!19sChIJJfFlzGGfyzsR1AJjj24Bl40?authuser=0&hl=en&rclk=1
24,Kasturi's Ladies emporium,"Suguna Arcade, beside apollo Pharmacy and Reliance smart point",Bangle Shop,,5.0,3.0,https://www.google.com/maps/place/Kasturi%27s+Ladies+emporium/data=!4m7!3m6!1s0x3bcb9359fcb1e49b:0x44bb2883f40c0697!8m2!3d17.50601!4d78.3356419!16s%2Fg%2F11y3zmqr2s!19sChIJm-Sx_FmTyzsRlwYM9IMou0Q?authuser=0&hl=en&rclk=1
25,"S S ladies Emporium,bangle store and Matching Centre","Parvathapur Rd, near sri chaitanya school",Bangle Shop,081435 64274,5.0,2.0,"https://www.google.com/maps/place/S+S+ladies+Emporium,bangle+store+and+Matching+Centre/data=!4m7!3m6!1s0x3bcb9f103686e4d1:0x7a99790dc63e3dc9!8m2!3d17.3910387!4d78.6069863!16s%2Fg%2F11sm9b70dc!19sChIJ0eSGNhCfyzsRyT0-xg15mXo?authuser=0&hl=en&rclk=1"
26,BEAUTY LADIES EMPORIUM,Nampally,Health and beauty shop,083748 62786,4.0,8.0,https://www.google.com/maps/place/BEAUTY+LADIES+EMPORIUM/data=!4m7!3m6!1s0x3bcb9723dd528949:0x75b218882aebb6b0!8m2!3d17.3911967!4d78.4641005!16s%2Fg%2F11t3dw_mlc!19sChIJSYlS3SOXyzsRsLbrKogYsnU?authuser=0&hl=en&rclk=1
27,Sri Divya Ladies Emporium,"2-56/33, 39/2, Ayyappa Society Main Rd",Clothing Accessories Store,099087 22309,3.4,14.0,https://www.google.com/maps/place/Sri+Divya+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb915dbcbd39bb:0x7467deade00fb6e7!8m2!3d17.4444642!4d78.3920734!16s%2Fg%2F11c6_wq8br!19sChIJuzm9vF2RyzsR57YP4K3eZ3Q?authuser=0&hl=en&rclk=1
28,Stylish Ladies Emporium,Plot no 10 shop no 11,Clothing Accessories Store,094931 01122,,,https://www.google.com/maps/place/Stylish+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb99d8609f61f9:0xf9aab30e86f58543!8m2!3d17.3626598!4d78.5379113!16s%2Fg%2F11hzm1y3dw!19sChIJ-WGfYNiZyzsRQ4X1hg6zqvk?authuser=0&hl=en&rclk=1
29,Sri Laxmi Ladies Emporium,03-12-1971,General store,092902 05020,5.0,1.0,https://www.google.com/maps/place/Sri+Laxmi+Ladies+Emporium/data=!4m7!3m6!1s0x3a334583965d58e9:0xba4190bca02fbf1b!8m2!3d18.0093654!4d79.5689799!16s%2Fg%2F1q660y3x6!19sChIJ6VhdloNFMzoRG78voLyQQbo?authuser=0&hl=en&rclk=1
30,For Her - Ladies Emporium,Crown residency,Cosmetics store,,3.7,7.0,https://www.google.com/maps/place/For+Her+-+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb939f349eb871:0x56e8678d78c189e5!8m2!3d17.4713901!4d78.3322657!16s%2Fg%2F11p55tv6g6!19sChIJcbieNJ-TyzsR5YnBeI1n6FY?authuser=0&hl=en&rclk=1
31,Ladies Emporium,"Rekurthi Sammaka, saralama road 1",Shopping mall,080081 76621,4.7,3.0,https://www.google.com/maps/place/Ladies+Emporium/data=!4m7!3m6!1s0x3bccdf274a791c3f:0xb638debb3c45856f!8m2!3d18.4681236!4d79.1089376!16s%2Fg%2F11r_k6f84y!19sChIJPxx5SiffzDsRb4VFPLveOLY?authuser=0&hl=en&rclk=1
32,Sri Lakshmi manemma Ladies Emporium,"Hanuman Coconut Shop, Bus Stop, 9-1-39/A/A, opp. Hasmathpet",Cosmetics store,090146 24443,5.0,4.0,https://www.google.com/maps/place/Sri+Lakshmi+manemma+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb9b63099985e7:0xbbeceb84699ade69!8m2!3d17.4749063!4d78.4857407!16s%2Fg%2F11fj0tj664!19sChIJ54WZCWObyzsRad6aaYTr7Ls?authuser=0&hl=en&rclk=1
33,Meenakshi Ladies Emporium,,Health and beauty shop,090004 57766,3.9,42.0,https://www.google.com/maps/place/Meenakshi+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb91eafdd342b1:0x3bcef6a060adb117!8m2!3d17.495576!4d78.404239!16s%2Fg%2F1q5cccwyf!19sChIJsULT_eqRyzsRF7GtYKD2zjs?authuser=0&hl=en&rclk=1
34,Raja ladies emporium,FCP7+F88,Cosmetics store,099495 21208,5.0,8.0,https://www.google.com/maps/place/Raja+ladies+emporium/data=!4m7!3m6!1s0x3bcb9162131dc60d:0x74bfd94c03f16486!8m2!3d17.4861676!4d78.4133171!16s%2Fg%2F11qs8cz8zf!19sChIJDcYdE2KRyzsRhmTxA0zZv3Q?authuser=0&hl=en&rclk=1
35,Han`s Ladies Emporium,"7-30, Road No 2, Madhura Puri Colony, Dilsukh Nagar, Dilsukh Nagar",Lingerie store,093900 26067,5.0,2.0,https://www.google.com/maps/place/Han%60s+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb98ec9687f7e5:0x1edfaad1f9f8a2d5!8m2!3d17.3536594!4d78.5352722!16s%2Fg%2F1tfn15nv!19sChIJ5feHluyYyzsR1aL4-dGq3x4?authuser=0&hl=en&rclk=1
36,Chandra Ladies Emporium,"Shop No 839, Old Mig Rd",Bangle Shop,092473 07416,4.8,44.0,https://www.google.com/maps/place/Chandra+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb92c957e5580d:0x35a313c3232b8c93!8m2!3d17.4815371!4d78.2990193!16s%2Fg%2F1hdzrs10t!19sChIJDVjlV8mSyzsRk4wrI8MTozU?authuser=0&hl=en&rclk=1
37,GRACE LADIES EMPORIUM,near Gandhi Statue,Jeweler,093478 02884,5.0,1.0,https://www.google.com/maps/place/GRACE+LADIES+EMPORIUM/data=!4m7!3m6!1s0x3bcb9105443a6c7b:0x300821dbc3440118!8m2!3d17.4554935!4d78.4027159!16s%2Fg%2F11gz94q3s3!19sChIJe2w6RAWRyzsRGAFEw9shCDA?authuser=0&hl=en&rclk=1
38,Krupa ladies emporium,"opp: sai baba temple, Tukaram Gate Main Rd",Jewelry store,096400 88886,5.0,6.0,https://www.google.com/maps/place/Krupa+ladies+emporium/data=!4m7!3m6!1s0x3bcb9b4261fd9933:0xd11dc7e5f6165c37!8m2!3d17.4421858!4d78.5215715!16s%2Fg%2F11gtzsd8jn!19sChIJM5n9YUKbyzsRN1wW9uXHHdE?authuser=0&hl=en&rclk=1
39,Ladies hosiery and Ladies emporium,,Women's clothing store,,4.0,3.0,https://www.google.com/maps/place/Ladies+hosiery+and+Ladies+emporium/data=!4m7!3m6!1s0x3bcb9de341090115:0x7e061f03919a4222!8m2!3d17.5139895!4d78.6313599!16s%2Fg%2F11sm8y1j7n!19sChIJFQEJQeOdyzsRIkKakQMfBn4?authuser=0&hl=en&rclk=1
40,Laharika Ladies Emporium,"Shop No.2,Suchitra, Qutubullapur Main Rd, Durga Estate, Jeedimetla",Costume store,098480 89791,4.0,6.0,https://www.google.com/maps/place/Laharika+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb900ea67ee435:0xd9078ecac35e7f33!8m2!3d17.5025302!4d78.4684396!16s%2Fg%2F1ygjd48y5!19sChIJNeR-pg6QyzsRM39ew8qOB9k?authuser=0&hl=en&rclk=1
41,New Navrang Ladies Emporium & Exclusive Hosiery,"9G9F+77V, Dilsukh Nagar, beside Venkatadri Cinema Theatre",Boutique,040 2406 4228,3.8,4.0,https://www.google.com/maps/place/New+Navrang+Ladies+Emporium+%26+Exclusive+Hosiery/data=!4m7!3m6!1s0x3bcb98ec55555555:0xbf4da02446c6359c!8m2!3d17.3682399!4d78.5231696!16s%2Fg%2F1tfh32z8!19sChIJVVVVVeyYyzsRnDXGRiSgTb8?authuser=0&hl=en&rclk=1
42,Sri Sai Ladies Emporium,Bapu Nagar,General store,091828 61355,5.0,1.0,https://www.google.com/maps/place/Sri+Sai+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb9657716faeed:0x4facffeb47b29fb4!8m2!3d17.3741321!4d78.4193804!16s%2Fg%2F1q2v_2b98!19sChIJ7a5vcVeWyzsRtJ-yR-v_rE8?authuser=0&hl=en&rclk=1
43,Maheshwari Ladies Emporium,,Women's clothing store,,5.0,1.0,https://www.google.com/maps/place/Maheshwari+Ladies+Emporium/data=!4m7!3m6!1s0x3bcba15a5bb7fe57:0x2baba1371bc959df!8m2!3d17.2935843!4d78.610102!16s%2Fg%2F11qpwrnz6k!19sChIJV_63W1qhyzsR31nJGzehqys?authuser=0&hl=en&rclk=1
44,Laxmi ladies emporium,"6-21, near gandhi statu",Jewelry store,,5.0,1.0,https://www.google.com/maps/place/Laxmi+ladies+emporium/data=!4m7!3m6!1s0x3bccedaf016b302b:0xc00d040f21d708a8!8m2!3d18.1615961!4d78.8993195!16s%2Fg%2F11jt59j52z!19sChIJKzBrAa_tzDsRqAjXIQ8EDcA?authuser=0&hl=en&rclk=1
45,SV ladies emporium,8-4-369/465-J,Jewelry store,,5.0,1.0,https://www.google.com/maps/place/SV+ladies+emporium/data=!4m7!3m6!1s0x3bcb91677c5532d3:0xda33f6025653d849!8m2!3d17.448994!4d78.4077118!16s%2Fg%2F11txhnbc3c!19sChIJ0zJVfGeRyzsRSdhTVgL2M9o?authuser=0&hl=en&rclk=1
46,M S LADIES EMPORIUM,near Fish Market,Jeweler,,5.0,1.0,https://www.google.com/maps/place/M+S+LADIES+EMPORIUM/data=!4m7!3m6!1s0x3bcb91365c71308f:0xb277dc9198f5c6ca!8m2!3d17.4411109!4d78.4250222!16s%2Fg%2F11tmfs19fx!19sChIJjzBxXDaRyzsRysb1mJHcd7I?authuser=0&hl=en&rclk=1
47,Gayatri Ladies emporium,opp. krishnaveni school,Bangle Shop,085550 81682,5.0,3.0,https://www.google.com/maps/place/Gayatri+Ladies+emporium/data=!4m7!3m6!1s0x3bcba3bbb8f5a06f:0xbb190dc7eb28fd79!8m2!3d17.3220952!4d78.5379596!16s%2Fg%2F11w22j6sqy!19sChIJb6D1uLujyzsRef0o68cNGbs?authuser=0&hl=en&rclk=1
48,Pavan Ladies Emporium Bangle Store & Hosiery,"G2, Shilpi Apartments, Near, Konark Theatre Ln, beside AMRUTHAM AYURVEDIC BAZAR",Bangle Shop,084668 81909,5.0,17.0,https://www.google.com/maps/place/Pavan+Ladies+Emporium+Bangle+Store+%26+Hosiery/data=!4m7!3m6!1s0x3bcb99020bc94395:0xa3ef966eff84348e!8m2!3d17.36732!4d78.5253181!16s%2Fg%2F11j13k02kn!19sChIJlUPJCwKZyzsRjjSE_26W76M?authuser=0&hl=en&rclk=1
49,SS ladies emporium,1-211/431,Bangle Shop,083413 36737,5.0,8.0,https://www.google.com/maps/place/SS+ladies+emporium/data=!4m7!3m6!1s0x3bcb915ddf453e6b:0x7c46cf666e6121f8!8m2!3d17.4558433!4d78.3979091!16s%2Fg%2F11s0n50k6z!19sChIJaz5F312RyzsR-CFhbmbPRnw?authuser=0&hl=en&rclk=1
50,Sangeetha Ladies Emporium,8JP5+M35,Store,,4.1,10.0,https://www.google.com/maps/place/Sangeetha+Ladies+Emporium/data=!4m7!3m6!1s0x3bcba1a93a849021:0x548f469c15a4a823!8m2!3d17.3366422!4d78.6077248!16s%2Fg%2F11kn4s9v9d!19sChIJIZCEOqmhyzsRI6ikFZxGj1Q?authuser=0&hl=en&rclk=1
51,Sri Krishna Ladies Emporium,"Shop No.30/B, 1st Floor, Alluri Complex,KPHB Opp., Kukatpally",Cosmetics store,098480 36412,4.0,1.0,https://www.google.com/maps/place/Sri+Krishna+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb91eb379688b9:0x17225f00459c3d0a!8m2!3d17.493798!4d78.4027954!16s%2Fg%2F1yh9sqcjv!19sChIJuYiWN-uRyzsRCj2cRQBfIhc?authuser=0&hl=en&rclk=1
52,princess ladies emporium,,Cosmetics store,,5.0,1.0,https://www.google.com/maps/place/princess+ladies+emporium/data=!4m7!3m6!1s0x3bcb997d2fa861e5:0x75b34ee7eadf0992!8m2!3d17.3526425!4d78.4973165!16s%2Fg%2F11x5f0qbrr!19sChIJ5WGoL32ZyzsRkgnf6udOs3U?authuser=0&hl=en&rclk=1
53,LADIES EMPORIUM,,Clothing store,,5.0,1.0,https://www.google.com/maps/place/LADIES+EMPORIUM/data=!4m7!3m6!1s0x3bcb9707945120d3:0xbfb74656b4ee4a87!8m2!3d17.3799333!4d78.4394641!16s%2Fg%2F11lchmrv5_!19sChIJ0yBRlAeXyzsRh0rutFZGt78?authuser=0&hl=en&rclk=1
54,Charitha And Nitya Ladies Emporium Matching Center,"Shop No. 4, 42-1071",Cosmetics store,096405 51849,5.0,1.0,https://www.google.com/maps/place/Charitha+And+Nitya+Ladies+Emporium+Matching+Center/data=!4m7!3m6!1s0x3bcb91b63bf21d4f:0x11b92675afe0015b!8m2!3d17.4931327!4d78.4222143!16s%2Fg%2F11s51vllb0!19sChIJTx3yO7aRyzsRWwHgr3UmuRE?authuser=0&hl=en&rclk=1
55,Jyothi Ladies Emporium & Stationary Shop,"8JP4+2R2, Surya Colony Rd",Clothing store,095029 59305,4.6,10.0,https://www.google.com/maps/place/Jyothi+Ladies+Emporium+%26+Stationary+Shop/data=!4m7!3m6!1s0x3bcba1b2e25afe77:0x2ac07304d1470b1e!8m2!3d17.3350087!4d78.6070073!16s%2Fg%2F11ffnhzxjs!19sChIJd_5a4rKhyzsRHgtH0QRzwCo?authuser=0&hl=en&rclk=1
56,Ms Ladies Emporium,"Shanthi Nagar, 997R 9CV, Raghuram Nagar Colony, , Bandlaguda Jagir",Fabric store,063029 61082,,,https://www.google.com/maps/place/Ms+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb9670a359e82b:0x68b88f1f46f311ee!8m2!3d17.3637178!4d78.3909626!16s%2Fg%2F11t420j9wp!19sChIJK-hZo3CWyzsR7hHzRh-PuGg?authuser=0&hl=en&rclk=1
57,RR Brothers Ladies Emporium cum Fancy Stores,,Cosmetics store,,4.7,46.0,https://www.google.com/maps/place/RR+Brothers+Ladies+Emporium+cum+Fancy+Stores/data=!4m7!3m6!1s0x3bcb919208656fdf:0x5f3ff1d9ad87b087!8m2!3d17.4871625!4d78.3963827!16s%2Fg%2F11b72hnqkd!19sChIJ329lCJKRyzsRh7CHrdnxP18?authuser=0&hl=en&rclk=1
58,Shivani Ladies Emporium,"Kushal Plaza, Gujarathi Galli, opp. Swethamber Jain Mandir",Clothing Accessories Store,090001 03455,3.3,7.0,https://www.google.com/maps/place/Shivani+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb99d3d91b1443:0x3f6356ee1704b6a9!8m2!3d17.385988!4d78.4855568!16s%2Fg%2F1tj5jlz6!19sChIJQxQb2dOZyzsRqbYEF-5WYz8?authuser=0&hl=en&rclk=1
59,Sree Ganga Bhavani Ladies Emporium,Market Road,Shopping mall,096408 67686,3.9,35.0,https://www.google.com/maps/place/Sree+Ganga+Bhavani+Ladies+Emporium/data=!4m7!3m6!1s0x3bcdbd4f797f7787:0xfa4f4de04deddf17!8m2!3d18.812917!4d78.464422!16s%2Fg%2F11c0qgn0jb!19sChIJh3d_eU-9zTsRF9_tTeBNT_o?authuser=0&hl=en&rclk=1
60,Yms Embroidery & Ladies Emporium,"Metro Pillar 1720, 1-63/4/3, Hitech City Rd, opposite Happi Mobiles",Embroidery shop,070369 51303,4.8,11.0,https://www.google.com/maps/place/Yms+Embroidery+%26+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb91532c9064bf:0x76dcd5f61a3ff197!8m2!3d17.4401945!4d78.3944743!16s%2Fg%2F11wmkdjsqt!19sChIJv2SQLFORyzsRl_E_GvbV3HY?authuser=0&hl=en&rclk=1
61,Laxmi Ladies Emporium & Embroidery Works,opp. Shivaji Statue,Embroidery shop,099128 50634,5.0,2.0,https://www.google.com/maps/place/Laxmi+Ladies+Emporium+%26+Embroidery+Works/data=!4m7!3m6!1s0x3bcb95eaa32fb7b1:0x36cb33258de12a17!8m2!3d17.377241!4d78.3545153!16s%2Fg%2F11rsp9nq56!19sChIJsbcvo-qVyzsRFyrhjSUzyzY?authuser=0&hl=en&rclk=1
62,Sri Lakshmi Hanvika Ladies Emporium,78,Cosmetics store,093985 12935,5.0,1.0,https://www.google.com/maps/place/Sri+Lakshmi+Hanvika+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb91daa8b6ecd5:0x688df429fb2e7c18!8m2!3d17.4919835!4d78.4574176!16s%2Fg%2F11s_zm9h3g!19sChIJ1ey2qNqRyzsRGHwu-yn0jWg?authuser=0&hl=en&rclk=1
63,Zeenath Ladies Emporium,"Fine complex, Barkas Rd",Cosmetics store,086864 64917,4.6,9.0,https://www.google.com/maps/place/Zeenath+Ladies+Emporium/data=!4m7!3m6!1s0x3bcba2b218b23273:0x98e943f0e3375d77!8m2!3d17.3218524!4d78.4805597!16s%2Fg%2F11clzrf6_3!19sChIJczKyGLKiyzsRd1034_BD6Zg?authuser=0&hl=en&rclk=1
