Maps_url,Name,Avg_review,Reviews,Category,Address,phone_number
https://www.google.com/maps/place/The+Beauty+Room/data=!4m7!3m6!1s0x3bcb915e350a206d:0x3413384aa33342b5!8m2!3d17.4441644!4d78.387205!16s%2Fg%2F11gblf9552!19sChIJbSAKNV6RyzsRtUIzo0o4EzQ?authuser=0&hl=en&rclk=1,The Beauty Room,4.7,(653),Beauty Parlour,·,
https://www.google.com/maps/place/Naturals+Salon/data=!4m7!3m6!1s0x3bcb93841323218b:0x791aa5a9a7e8314b!8m2!3d17.505962!4d78.3185088!16s%2Fg%2F11g_rksq2c!19sChIJiyEjE4STyzsRSzHop6mlGnk?authuser=0&hl=en&rclk=1,Naturals Salon,4.5,(562),Beauty Parlour,"Akshitha Spaces, 194P, RR Nagar Col, beside Rainbow School",
https://www.google.com/maps/place/Hair+Affair+Unisex+Salon/data=!4m7!3m6!1s0x3bcb975ff0b0d5d5:0xa096938c97dff172!8m2!3d17.4142371!4d78.4413691!16s%2Fg%2F11ffv68gfv!19sChIJ1dWw8F-XyzsRcvHfl4yTlqA?authuser=0&hl=en&rclk=1,Hair Affair Unisex Salon,4.9,(359),Beauty Parlour,·,
https://www.google.com/maps/place/Sahiba+Salon+-+The+Best+Ladies+Salon+in+Somajiguda/data=!4m7!3m6!1s0x3bcb97f067965791:0x9d83d27189c68815!8m2!3d17.4231859!4d78.4620956!16s%2Fg%2F11pvbftvlg!19sChIJkVeWZ_CXyzsRFYjGiXHSg50?authuser=0&hl=en&rclk=1,Sahiba Salon - The Best Ladies Salon in Somajiguda,4.7,(224),Beauty Parlour,"6-3-1090/B/5 4th Floor, Ohud Building, Raj Bhavan Rd",
"https://www.google.com/maps/place/Infinity+Salon+-+Hair,+Beauty+%26+Spa/data=!4m7!3m6!1s0x3bcb914978f2a26f:0x2cf2ad846f346306!8m2!3d17.4420278!4d78.3961543!16s%2Fg%2F11n62pmh2f!19sChIJb6LyeEmRyzsRBmM0b4St8iw?authuser=0&hl=en&rclk=1","Infinity Salon - Hair, Beauty & Spa",4.8,(118),Beauty Parlour,"Opp: Ratnadeep Super Market, Plot no. 60, Sri Rama Colony, Kavuri hills phase 3, Madhapur",
https://www.google.com/maps/place/Envi+Salon+%26+Spa+-+Banjara+Hills/data=!4m7!3m6!1s0x3bcb9727e63ff955:0x2a2723a5c3fdb157!8m2!3d17.412536!4d78.430904!16s%2Fg%2F1pzv74gxs!19sChIJVfk_5ieXyzsRV7H9w6UjJyo?authuser=0&hl=en&rclk=1,Envi Salon & Spa - Banjara Hills,4.5,"(1,150)",Hairdresser,·,
https://www.google.com/maps/place/H4+Salon+%26+Makeover+Studio+%7C+Hair+and+Beauty+Salon+%7C+Salon+In+Hyderabad/data=!4m7!3m6!1s0x3bcb9573628ced69:0xe30b17bebcebc63f!8m2!3d17.4024969!4d78.3810765!16s%2Fg%2F11j0gwnkfw!19sChIJae2MYnOVyzsRP8brvL4XC-M?authuser=0&hl=en&rclk=1,H4 Salon & Makeover Studio | Hair and Beauty Salon | Salon In Hyderabad,4.7,"(2,034)",Beauty Parlour,·,
https://www.google.com/maps/place/Blink+Family+Salon/data=!4m7!3m6!1s0x3bcb92871e9231eb:0x7ccd7e026ff45cff!8m2!3d17.5047957!4d78.3361819!16s%2Fg%2F11c5_xj4xq!19sChIJ6zGSHoeSyzsR_1z0bwJ-zXw?authuser=0&hl=en&rclk=1,Blink Family Salon,4.6,(719),Beauty Parlour,·,
https://www.google.com/maps/place/Jack+%26+Jolie+UNISEX+SALON+Madhapur/data=!4m7!3m6!1s0x3bcb915d88cb0697:0x756a04d07119a278!8m2!3d17.4495625!4d78.3920625!16s%2Fg%2F11sk819xty!19sChIJlwbLiF2RyzsReKIZcdAEanU?authuser=0&hl=en&rclk=1,Jack & Jolie UNISEX SALON Madhapur,4.8,(458),Hairdresser,·,
https://www.google.com/maps/place/Elevation+45+Hair+%26+Nail+Salon/data=!4m7!3m6!1s0x3bcb91d771473c9d:0x1eaf3dff2ba11805!8m2!3d17.4413241!4d78.3965762!16s%2Fg%2F11fjb56crg!19sChIJnTxHcdeRyzsRBRihK_89rx4?authuser=0&hl=en&rclk=1,Elevation 45 Hair & Nail Salon,4.8,(515),Beauty Parlour,·,
https://www.google.com/maps/place/Raw+Makeover+Family+Beauty+Salon+%26+Academy/data=!4m7!3m6!1s0x3bcb91c142339bd5:0x6b60da5022950d9d!8m2!3d17.4994612!4d78.4159851!16s%2Fg%2F11h7rr8j0f!19sChIJ1ZszQsGRyzsRnQ2VIlDaYGs?authuser=0&hl=en&rclk=1,Raw Makeover Family Beauty Salon & Academy,4.7,(161),Beauty Parlour,·,
https://www.google.com/maps/place/Be+On+Mirrors+The+Unisex+Salon+%28Kondapur%29/data=!4m7!3m6!1s0x3bcb938cb5407087:0x127055a8e133109c!8m2!3d17.4696433!4d78.3432418!16s%2Fg%2F11sytj275_!19sChIJh3BAtYyTyzsRnBAz4ahVcBI?authuser=0&hl=en&rclk=1,Be On Mirrors The Unisex Salon (Kondapur),4.8,(247),Beauty Parlour,·,
https://www.google.com/maps/place/Studio11+Salon+%26+Spa+Karimnagar/data=!4m7!3m6!1s0x3bccd95b414eef7d:0x7161bb50e85baed7!8m2!3d18.4439855!4d79.126525!16s%2Fg%2F11qg15m_hb!19sChIJfe9OQVvZzDsR165b6FC7YXE?authuser=0&hl=en&rclk=1,Studio11 Salon & Spa Karimnagar,4.8,"(1,864)",Beauty Parlour,"Shop no: 3-1-367 2nd floor Civil Hospital to court chowrasta line Beside Kids Mall. Opp: ICICI Bank, Ambedkar Rd",
https://www.google.com/maps/place/SG9+Unisex+Premium+Salons/data=!4m7!3m6!1s0x3bcb95914f0e45bb:0x663faa981fde03e3!8m2!3d17.3920793!4d78.3684476!16s%2Fg%2F11p78rq34d!19sChIJu0UOT5GVyzsR4wPeH5iqP2Y?authuser=0&hl=en&rclk=1,SG9 Unisex Premium Salons,4.8,(355),Beauty Parlour,"Paaru Enclave, 2nd Floor, Rd Number 19, opposite Dilip supermarket, above Apollo pharmacy",
https://www.google.com/maps/place/Naturals+Salon/data=!4m7!3m6!1s0x3bcb9bb8e866f8a7:0xb24deae56afc2f14!8m2!3d17.456305!4d78.5361893!16s%2Fg%2F11bxdzgj6m!19sChIJp_hm6LibyzsRFC_8auXqTbI?authuser=0&hl=en&rclk=1,Naturals Salon,4.4,"(1,251)",Beauty Parlour,"No 22, No 104, Street Number 3, beside Jagadamba Jewellers",
https://www.google.com/maps/place/Lakme+Salon/data=!4m7!3m6!1s0x3bcb91895027c65b:0x1851e94257363e68!8m2!3d17.4866139!4d78.3907351!16s%2Fg%2F1tcvs98z!19sChIJW8YnUImRyzsRaD42V0LpURg?authuser=0&hl=en&rclk=1,Lakme Salon,4.8,"(1,424)",Beauty Parlour,·,
https://www.google.com/maps/place/Fh+Family+Salon/data=!4m7!3m6!1s0x3bcb935cd6417c01:0x359bf50d5b575aef!8m2!3d17.4688778!4d78.3666951!16s%2Fg%2F11gnpxvp62!19sChIJAXxB1lyTyzsR71pXWw31mzU?authuser=0&hl=en&rclk=1,Fh Family Salon,4.6,(249),Beauty Parlour,"2nd floor, zudio Star bazar, Green helmet road Hanuman Naga, opposite Star bazar",
"https://www.google.com/maps/place/Green+Trends+Unisex+Salon,+Begumpet,+Secunderabad/data=!4m7!3m6!1s0x3bcb90a37c6a8f63:0x23c6c4645cc1a6fe!8m2!3d17.4446857!4d78.4635413!16s%2Fg%2F11bz0b3mvd!19sChIJY49qfKOQyzsR_qbBXGTExiM?authuser=0&hl=en&rclk=1","Green Trends Unisex Salon, Begumpet, Secunderabad",4.7,"(2,795)",Beauty Parlour,·,
https://www.google.com/maps/place/Define+Hair+%2Bbeauty+Salon/data=!4m7!3m6!1s0x3bcb93c0e6d57a6d:0x71b834cbdb49400f!8m2!3d17.4485698!4d78.3640012!16s%2Fg%2F11f4_317zh!19sChIJbXrV5sCTyzsRD0BJ28s0uHE?authuser=0&hl=en&rclk=1,Define Hair +beauty Salon,4.8,"(6,821)",Beauty Parlour,#1-60/8 4th Floor Opp The Platina Building Kondapur Road Anjaih Nagar,
https://www.google.com/maps/place/Lakme+Salon/data=!4m7!3m6!1s0x3bcb967aad3608ab:0x597f528fafda4b18!8m2!3d17.3652432!4d78.3957134!16s%2Fg%2F11f1w6rrb3!19sChIJqwg2rXqWyzsRGEvar49Sf1k?authuser=0&hl=en&rclk=1,Lakme Salon,4.7,(515),Beauty Parlour,·,
"https://www.google.com/maps/place/Marie+Claire+Paris-Salon+%26+Wellness,+Chandanagar,+Hyderabad/data=!4m7!3m6!1s0x3bcb931f8acea71f:0x1f65f20d47e0aa97!8m2!3d17.4913841!4d78.3352451!16s%2Fg%2F11pv9bcr6r!19sChIJH6fOih-TyzsRl6rgRw3yZR8?authuser=0&hl=en&rclk=1","Marie Claire Paris-Salon & Wellness, Chandanagar, Hyderabad",4.9,(655),Beauty Parlour,·,
https://www.google.com/maps/place/Habibs+Hair+%26+Beauty+Salon+-+Madinaguda/data=!4m7!3m6!1s0x3bcb934b37e411b9:0x655334df21edcf9f!8m2!3d17.4885807!4d78.3493576!16s%2Fg%2F11fqy4htp2!19sChIJuRHkN0uTyzsRn8_tId80U2U?authuser=0&hl=en&rclk=1,Habibs Hair & Beauty Salon - Madinaguda,4.6,"(1,139)",Beauty Parlour,·,
https://www.google.com/maps/place/Naturals+Salon+-+Abids/data=!4m7!3m6!1s0x3bcb99d8518b31d5:0x9a5746d3990b703e!8m2!3d17.394873!4d78.4777536!16s%2Fg%2F11bx86yyx_!19sChIJ1TGLUdiZyzsRPnALmdNGV5o?authuser=0&hl=en&rclk=1,Naturals Salon - Abids,4.6,(823),Beauty Parlour,·,
https://www.google.com/maps/place/Manea+The+Salon+-+Gachibowli/data=!4m7!3m6!1s0x3bcb93fd9951a995:0x4a2d12c7d48896cb!8m2!3d17.4488659!4d78.3563073!16s%2Fg%2F11s93hq176!19sChIJlalRmf2TyzsRy5aI1McSLUo?authuser=0&hl=en&rclk=1,Manea The Salon - Gachibowli,4.7,(393),Hairdresser,"2nd Floor, Mahadev Complex Opp. Gate",
https://www.google.com/maps/place/Duke+%26+Duchess+Unisex+Salon+and+Spa/data=!4m7!3m6!1s0x3bcb952611c12a11:0x9ced7e5d718acffe!8m2!3d17.3938246!4d78.3408764!16s%2Fg%2F11tjdrsyr1!19sChIJESrBESaVyzsR_s-KcV1-7Zw?authuser=0&hl=en&rclk=1,Duke & Duchess Unisex Salon and Spa,4.6,(446),Beauty Parlour,·,
https://www.google.com/maps/place/Naturals+Salon/data=!4m7!3m6!1s0x3bcb972cb12ad1bf:0x7c771c83a1584333!8m2!3d17.4243474!4d78.4365828!16s%2Fg%2F1wf2092r!19sChIJv9EqsSyXyzsRM0NYoYMcd3w?authuser=0&hl=en&rclk=1,Naturals Salon,4.3,"(1,015)",Beauty Parlour,·,
https://www.google.com/maps/place/Green+Trends+Unisex+Hair+%26+Style+Salon/data=!4m7!3m6!1s0x3bcb96a4747c4be3:0xac23dd192d4ce8a3!8m2!3d17.4071251!4d78.4030197!16s%2Fg%2F11c20c15jy!19sChIJ40t8dKSWyzsRo-hMLRndI6w?authuser=0&hl=en&rclk=1,Green Trends Unisex Hair & Style Salon,4.7,"(2,411)",Beauty Parlour,·,
https://www.google.com/maps/place/BE+UNIQUE+SALON/data=!4m7!3m6!1s0x3bcb932806c6c0c5:0x406960f8490d0117!8m2!3d17.4618085!4d78.3672523!16s%2Fg%2F11s9tvqp7j!19sChIJxcDGBiiTyzsRFwENSfhgaUA?authuser=0&hl=en&rclk=1,BE UNIQUE SALON,4.8,(158),Nail salon,"1st floor, Kamala Arcade",
https://www.google.com/maps/place/Lakme+Salon/data=!4m7!3m6!1s0x3bcb926be60af69d:0x7d4a6e7262e1895b!8m2!3d17.494854!4d78.356116!16s%2Fg%2F11c3svr3j2!19sChIJnfYK5muSyzsRW4nhYnJuSn0?authuser=0&hl=en&rclk=1,Lakme Salon,4.7,"(1,138)",Beauty Parlour,"1-122, 2nd Floor, Miyapur Roads, Madinaguda Village, Serilingampally Mandal, above KFC",
"https://www.google.com/maps/place/Green+Trends+Unisex+Salon,+Bandlaguda+Jagir,+Rangareddy/data=!4m7!3m6!1s0x3bcb966550290503:0x2c9495a127cd567a!8m2!3d17.3652736!4d78.396175!16s%2Fg%2F11cssvt7s4!19sChIJAwUpUGWWyzsRelbNJ6GVlCw?authuser=0&hl=en&rclk=1","Green Trends Unisex Salon, Bandlaguda Jagir, Rangareddy",4.7,"(2,718)",Beauty Parlour,·,
https://www.google.com/maps/place/Naturals+Salon/data=!4m7!3m6!1s0x3bcb919385ae10c5:0x121c4f390cb27759!8m2!3d17.4894116!4d78.4007939!16s%2Fg%2F11xjbvbkj!19sChIJxRCuhZORyzsRWXeyDDlPHBI?authuser=0&hl=en&rclk=1,Naturals Salon,4.4,"(1,753)",Beauty Parlour,·,
https://www.google.com/maps/place/STAR+LOOKS+UNISEX+SALON/data=!4m7!3m6!1s0x3bcb93beb79bef89:0x7a9c2ae407cfda68!8m2!3d17.4488376!4d78.3570971!16s%2Fg%2F11c1plkmzx!19sChIJie-bt76TyzsRaNrPB-QqnHo?authuser=0&hl=en&rclk=1,STAR LOOKS UNISEX SALON,4.5,"(1,107)",Beauty Parlour,·,
"https://www.google.com/maps/place/Hair+Do+Salon+-+Best+Unisex+Salon+in+Gachibowli,+Hyderabad+-+Hair+%7C+Beauty+%7C+Makeup/data=!4m7!3m6!1s0x3bcb935189b923b5:0x72666b9be3842782!8m2!3d17.4416659!4d78.3581111!16s%2Fg%2F11j84v3qjh!19sChIJtSO5iVGTyzsRgieE45trZnI?authuser=0&hl=en&rclk=1","Hair Do Salon - Best Unisex Salon in Gachibowli, Hyderabad - Hair | Beauty | Makeup",4.3,"(1,294)",Beauty Parlour,·,
https://www.google.com/maps/place/Lakme+Salon/data=!4m7!3m6!1s0x3bcb96afd2887c51:0xe58a768fb77cf375!8m2!3d17.4137818!4d78.3948422!16s%2Fg%2F1q2w9q8kq!19sChIJUXyI0q-WyzsRdfN8t492iuU?authuser=0&hl=en&rclk=1,Lakme Salon,4.6,(621),Beauty Parlour,"2nd Floor, Dargah, R3 Icon, 6/8-A, above Dominos Pizza",
https://www.google.com/maps/place/Queens+Beauty+Salon/data=!4m7!3m6!1s0x3bcb99fa946898ad:0x9118084dbbc2d445!8m2!3d17.368391!4d78.4835508!16s%2Fg%2F11gsmn7__1!19sChIJrZholPqZyzsRRdTCu00IGJE?authuser=0&hl=en&rclk=1,Queens Beauty Salon,4.7,(403),Beauty Parlour,"22, Dabeerpura Road",
https://www.google.com/maps/place/Style+On+Studio/data=!4m7!3m6!1s0x3bcb913d5b993123:0x3b331b9ff229cda5!8m2!3d17.4460564!4d78.3874582!16s%2Fg%2F11k7ly8gft!19sChIJIzGZWz2RyzsRpc0p8p8bMzs?authuser=0&hl=en&rclk=1,Style On Studio,4.8,(586),Beauty Parlour,"Arunodaya Colony, Infornt DENA Bank Madhapur",
https://www.google.com/maps/place/Sreeyas+Beauty+Parlour+Manikonda/data=!4m7!3m6!1s0x3bcb973cadfeb097:0x37e4a405dcb26bd1!8m2!3d17.4076117!4d78.3931485!16s%2Fg%2F11r76ntk58!19sChIJl7D-rTyXyzsR0Wuy3AWk5Dc?authuser=0&hl=en&rclk=1,Sreeyas Beauty Parlour Manikonda,4.8,(359),Beauty Parlour,·,
https://www.google.com/maps/place/Kameleon+Premium+Salon+-+Kokapet/data=!4m7!3m6!1s0x3bcb9521d31abffd:0xd63a79a5419e44d!8m2!3d17.3933233!4d78.3406281!16s%2Fg%2F11s7xm55qf!19sChIJ_b8a0yGVyzsRTeQZVJqnYw0?authuser=0&hl=en&rclk=1,Kameleon Premium Salon - Kokapet,4.9,(556),Beauty Parlour,"3rd Floor, MN Corner, above Pizza Hut",
https://www.google.com/maps/place/Makeover+Hair+and+Beauty+Salon+Ladies+only/data=!4m7!3m6!1s0x3bcb9575e21b395b:0xf5d7dd6b21615cd!8m2!3d17.3855502!4d78.3358127!16s%2Fg%2F11glv89_3p!19sChIJWzkb4nWVyzsRzRUWstZ9XQ8?authuser=0&hl=en&rclk=1,Makeover Hair and Beauty Salon Ladies only,4.9,(121),Beauty Parlour,Gandipet Main Rd,
https://www.google.com/maps/place/Lakme+Salon/data=!4m7!3m6!1s0x3bcb90c84ed59775:0x9ae528a43338b61!8m2!3d17.4351043!4d78.4506155!16s%2Fg%2F11c2dkvr05!19sChIJdZfVTsiQyzsRYYszQ4pSrgk?authuser=0&hl=en&rclk=1,Lakme Salon,4.7,(872),Beauty Parlour,"Metro Rail Pillar 1437, Mandhana Towers, 7-1-59/2, Lal Bangla Road, above The Plastic World",
https://www.google.com/maps/place/Trim+X+-+Best+Unisex+Salon+in+West+Marredpally/data=!4m7!3m6!1s0x3bcb9bcd2dbf0835:0x8241bd1f4ebefd37!8m2!3d17.4565247!4d78.5077937!16s%2Fg%2F11pccypl14!19sChIJNQi_Lc2byzsRN_2-Th-9QYI?authuser=0&hl=en&rclk=1,Trim X - Best Unisex Salon in West Marredpally,4.8,(274),Hairdresser,"Wellington Rd, Rukmini Devi Colony, R K Nagar, West Marredpally, Secunderabad, near Friend's corner",
https://www.google.com/maps/place/Salon+Koniki+-+Best+Hair+%26+Beauty+Salon+in+Hyderabad/data=!4m7!3m6!1s0x3bcb91492b17adbf:0x4b8cc2115891e6fb!8m2!3d17.4312294!4d78.4011823!16s%2Fg%2F11g69ykpv2!19sChIJv60XK0mRyzsR--aRWBHCjEs?authuser=0&hl=en&rclk=1,Salon Koniki - Best Hair & Beauty Salon in Hyderabad,4.7,(263),Beauty Parlour,·,
https://www.google.com/maps/place/JAWED+HABIB+HAIR+AND+BEAUTY+SALON+RK+PURAM+ALAKAPURI/data=!4m7!3m6!1s0x3bcb98c1560955c5:0x791a08a6f5370127!8m2!3d17.367494!4d78.5485584!16s%2Fg%2F124t4jpzc!19sChIJxVUJVsGYyzsRJwE39aYIGnk?authuser=0&hl=en&rclk=1,JAWED HABIB HAIR AND BEAUTY SALON RK PURAM ALAKAPURI,4.3,"(2,133)",Beauty Parlour,·,
https://www.google.com/maps/place/Page+3+Luxury+Salon+%26+Makeover+Studio/data=!4m7!3m6!1s0x3bcb96cc030de999:0x6ef4096dd2d340ad!8m2!3d17.4162559!4d78.418727!16s%2Fg%2F1tfyzl2f!19sChIJmekNA8yWyzsRrUDT0m0J9G4?authuser=0&hl=en&rclk=1,Page 3 Luxury Salon & Makeover Studio,4.4,(655),Beauty Parlour,·,
https://www.google.com/maps/place/Jawed+Habib+Salon-+Alkapuri+Nagole/data=!4m7!3m6!1s0x3bcb99bdddfbfeb7:0x39d833952f10e46!8m2!3d17.3666037!4d78.5572698!16s%2Fg%2F11h3x74xht!19sChIJt_773b2ZyzsRRg7xUjmDnQM?authuser=0&hl=en&rclk=1,Jawed Habib Salon- Alkapuri Nagole,4.4,(622),Beauty Parlour,·,
https://www.google.com/maps/place/Manea+The+Salon+-+Madhapur/data=!4m7!3m6!1s0x3bcb915fcc5b9347:0xebaddabaff703814!8m2!3d17.4450636!4d78.3856695!16s%2Fg%2F1tf38_63!19sChIJR5NbzF-RyzsRFDhw_7rares?authuser=0&hl=en&rclk=1,Manea The Salon - Madhapur,4.5,"(1,170)",Beauty Parlour,·,
,,,,,,
