"Google maps link","Name","Avg_review","Reviews","Category","Address","Phone"
"https://www.google.com/maps/place/SRI+MAYURI+POOJA+SAMAGRI+-+Best+Pooja+Store+In+Hyderabad/data=!4m7!3m6!1s0x3bcb937b9049c4d5:0x891a075eda99f27a!8m2!3d17.4885541!4d78.3817249!16s%2Fg%2F11s4rqw31n!19sChIJ1cRJkHuTyzsRevKZ2l4HGok?authuser=0&hl=en&rclk=1","SRI MAYURI POOJA SAMAGRI - Best Pooja Store In Hyderabad","4.7","(85)","Religious goods store","Sri mayuri pooja samagri, kphb 9th phase, bloomingdale building, ground floor Kphb 9th phase , gokul plots circle","081850 33999"
"https://www.google.com/maps/place/Sri+Balaji+Pooja+Samagri/data=!4m7!3m6!1s0x3bcb926c437fce9f:0x32d73eaf9ae50fd9!8m2!3d17.497999!4d78.357743!16s%2Fg%2F12qhgtxq2!19sChIJn85_Q2ySyzsR2Q_lmq8-1zI?authuser=0&hl=en&rclk=1","Sri Balaji Pooja Samagri","4.7","(205)","Religious goods store","·","077801 27448"
"https://www.google.com/maps/place/Sri+Pooja+Stores/data=!4m7!3m6!1s0x3bcb930016266371:0x6869f9b6afb9498d!8m2!3d17.4938895!4d78.3161033!16s%2Fg%2F11ldvwhf78!19sChIJcWMmFgCTyzsRjUm5r7b5aWg?authuser=0&hl=en&rclk=1","Sri Pooja Stores","4.9","(89)","Store","22-78","090639 06480"
"https://www.google.com/maps/place/Sri+Gayatri+Pooja+Stores/data=!4m7!3m6!1s0x3bcb91f2ba21c89f:0x9328fb123335217d!8m2!3d17.4949723!4d78.3958167!16s%2Fg%2F11cpftk449!19sChIJn8ghuvKRyzsRfSE1MxL7KJM?authuser=0&hl=en&rclk=1","Sri Gayatri Pooja Stores","4.0","(1,141)","Religious goods store","·","097017 02827"
"https://www.google.com/maps/place/Dhaakshani+All+Pooja+Samagri+Wholesale+%26+Retail,+Hyderabad,+India/data=!4m7!3m6!1s0x3bcb93d731b87971:0xf9b625910f76dcb7!8m2!3d17.4305632!4d78.3329805!16s%2Fg%2F11q1pd_dnn!19sChIJcXm4MdeTyzsRt9x2D5Eltvk?authuser=0&hl=en&rclk=1","Dhaakshani All Pooja Samagri Wholesale & Retail, Hyderabad, India","4.5","(38)","Religious goods store","back gate, My Home Vihanga Rd",""
"https://www.google.com/maps/place/Sri+Yagnaa+Pooja+Samagri+Stores+Manikonda/data=!4m7!3m6!1s0x3bcb9778af184203:0x8956faa125e73a37!8m2!3d17.4073137!4d78.3887752!16s%2Fg%2F11qqgbjdd8!19sChIJA0IYr3iXyzsRNzrnJaH6Vok?authuser=0&hl=en&rclk=1","Sri Yagnaa Pooja Samagri Stores Manikonda","4.6","(138)","Religious goods store","Besides Preetam Hospital, Lanco Hills Rd","091338 10555"
"https://www.google.com/maps/place/Sreemayee+Pooja+Store/data=!4m7!3m6!1s0x3bcb91de107caa6b:0xf0c7fb552ca82bcb!8m2!3d17.4932789!4d78.3950399!16s%2Fg%2F11fk1kzvs3!19sChIJa6p8EN6RyzsRyyuoLFX7x_A?authuser=0&hl=en&rclk=1","Sreemayee Pooja Store","5.0","(30)","Home goods store","·","092461 18767"
"https://www.google.com/maps/place/sri+sai+durga+pooja+samagri+wholesale+and+retail/data=!4m7!3m6!1s0x3bcb9199fedfa277:0x512c39142f487046!8m2!3d17.4677261!4d78.3979364!16s%2Fg%2F11tnlygmyz!19sChIJd6Lf_pmRyzsRRnBILxQ5LFE?authuser=0&hl=en&rclk=1","sri sai durga pooja samagri wholesale and retail","4.9","(46)","Religious goods store","LIG-89, Green Hills Rd","094408 91550"
"https://www.google.com/maps/place/Hanuman+pooja+store/data=!4m7!3m6!1s0x3bcb9f5a2df93657:0x108df900b9230a58!8m2!3d17.3984141!4d78.6051932!16s%2Fg%2F11ncbnw4mf!19sChIJVzb5LVqfyzsRWAojuQD5jRA?authuser=0&hl=en&rclk=1","Hanuman pooja store","4.9","(37)","Religious goods store","·","098662 77222"
"https://www.google.com/maps/place/Sri+Kamadhenu+Pooja+Samagri/data=!4m7!3m6!1s0x3bcb93268db85b03:0xc018c4303fa01870!8m2!3d17.5020173!4d78.3181107!16s%2Fg%2F11p14vc75x!19sChIJA1u4jSaTyzsRcBigPzDEGMA?authuser=0&hl=en&rclk=1","Sri Kamadhenu Pooja Samagri","4.6","(74)","Religious goods store","1, 36/1 8/1, Ameenpur Rd",""
"https://www.google.com/maps/place/Sri+Yagnaa+Pooja+Samagri+Stores+Krishna+Nagar/data=!4m7!3m6!1s0x3bcb9101e74b7387:0x4d36ad682d6cafe2!8m2!3d17.4305047!4d78.4283026!16s%2Fg%2F11mwspzqcp!19sChIJh3NL5wGRyzsR4q9sLWitNk0?authuser=0&hl=en&rclk=1","Sri Yagnaa Pooja Samagri Stores Krishna Nagar","4.8","(50)","Religious goods store","·","095023 26964"
